Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonOffice,NeuMF,005%,020%,N,-,-,0.01445,0.03848,0.01305,0.01384,0.03689,0.0125,0.03666,0.04956,0.03591,4.70822,4.69768,4.70884,4.64,4.33,4.51,147.65,206.184,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,0.0000000,-,0.01539,0.03711,0.01412,0.01425,0.03361,0.01312,0.03782,0.04346,0.03749,4.71749,4.735,4.71648,4.7,4.39,4.51,141.217,204.193,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,60.6666667,-,0.01545,0.03826,0.01412,0.01429,0.03443,0.01312,0.03797,0.04619,0.03749,4.71683,4.73311,4.71588,4.7,4.39,4.51,141.63,204.248,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,121.3333333,-,0.01542,0.03823,0.01409,0.0143,0.03443,0.01313,0.03797,0.04619,0.03749,4.716,4.73182,4.71508,4.7,4.39,4.51,141.922,204.432,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,182.0000000,-,0.01533,0.03818,0.014,0.01425,0.03443,0.01307,0.03782,0.04619,0.03733,4.71492,4.73195,4.71393,4.7,4.39,4.51,141.985,204.781,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,242.6666667,-,0.0152,0.03757,0.0139,0.01416,0.03443,0.01298,0.03753,0.04619,0.03702,4.71314,4.73142,4.71208,4.7,4.39,4.51,142.109,205.205,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,303.3333333,-,0.01528,0.03912,0.01389,0.01421,0.03543,0.01298,0.03762,0.04783,0.03702,4.71188,4.72292,4.71124,4.7,4.39,4.51,142.961,205.511,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,364.0000000,-,0.01527,0.03931,0.01387,0.01425,0.03607,0.01298,0.03766,0.04865,0.03702,4.71114,4.72262,4.71047,4.7,4.39,4.51,143.661,205.754,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,424.6666667,-,0.01518,0.03824,0.01384,0.01421,0.03616,0.01293,0.03762,0.04865,0.03698,4.71122,4.70967,4.71131,4.7,4.39,4.51,145.191,205.622,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,485.3333333,-,0.01501,0.03697,0.01374,0.01416,0.03607,0.01288,0.03753,0.04865,0.03688,4.71111,4.70287,4.71159,4.64,4.39,4.51,146.949,205.54,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,546.0000000,-,0.01472,0.03697,0.01342,0.01393,0.03607,0.01264,0.03694,0.04865,0.03625,4.71046,4.70096,4.71101,4.64,4.39,4.51,147.338,205.718,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,606.6666667,-,0.0145,0.03664,0.01321,0.0138,0.03607,0.01251,0.03661,0.04865,0.03591,4.70935,4.69798,4.71001,4.64,4.39,4.51,147.804,205.879,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,667.3333333,-,0.01435,0.0366,0.01306,0.0138,0.03607,0.0125,0.03661,0.04865,0.03591,4.7086,4.69576,4.70935,4.64,4.33,4.51,148.082,206.022,24480.0,0.0,24480==24480.0
AmazonOffice,NeuMF,005%,020%,C,728.0000000,-,0.01445,0.03848,0.01305,0.01384,0.03689,0.0125,0.03666,0.04956,0.03591,4.70822,4.69768,4.70884,4.64,4.33,4.51,147.65,206.184,24480.0,0.0,24480==24480.0
