Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonOffice,PF,005%,020%,N,-,-,0.00937,0.02757,0.00831,0.00902,0.02295,0.00821,0.02615,0.02678,0.02611,6.14341,5.65542,6.17181,71.03,23.39,70.47,43.311,37.744,17069.0,7411.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,0.0000000,-,0.00994,0.02395,0.00913,0.00965,0.02049,0.00902,0.0279,0.02444,0.0281,6.14663,5.6209,6.17723,70.85,22.88,70.41,46.03,36.706,17090.0,7390.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,158.0000000,-,0.00988,0.02392,0.00906,0.0096,0.02049,0.00897,0.02781,0.02444,0.028,6.14564,5.61446,6.17656,70.91,22.7,70.41,47.084,36.765,17095.0,7385.000000000001,24480==24480.0
AmazonOffice,PF,005%,020%,C,316.0000000,-,0.00968,0.02392,0.00885,0.00942,0.02049,0.00878,0.02752,0.02444,0.0277,6.14542,5.62058,6.17597,70.91,23.07,70.41,46.693,36.855,17087.0,7393.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,474.0000000,-,0.00968,0.02471,0.00881,0.00942,0.02131,0.00873,0.02751,0.02507,0.02766,6.14441,5.62382,6.17471,70.91,22.88,70.41,46.066,37.006,17097.0,7383.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,632.0000000,-,0.00958,0.02482,0.00869,0.00938,0.02131,0.00868,0.0274,0.02507,0.02754,6.14355,5.62967,6.17346,70.91,23.07,70.41,45.57,37.155,17094.999999999993,7385.0000000000055,24480==24480.0
AmazonOffice,PF,005%,020%,C,790.0000000,-,0.00959,0.02581,0.00864,0.00933,0.02213,0.00859,0.02722,0.02575,0.02731,6.1426,5.6375,6.172,70.91,23.13,70.41,44.917,37.373,17096.0,7384.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,948.0000000,-,0.00955,0.02757,0.0085,0.00924,0.02295,0.00844,0.02707,0.02678,0.02708,6.14153,5.6436,6.17051,70.97,23.13,70.41,44.24,37.531,17102.00000000001,7377.999999999989,24480==24480.0
AmazonOffice,PF,005%,020%,C,1106.0000000,-,0.00949,0.02757,0.00844,0.0092,0.02295,0.0084,0.02692,0.02678,0.02692,6.14192,5.64572,6.17081,70.97,23.26,70.41,44.303,37.626,17094.0,7386.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,1264.0000000,-,0.00946,0.02757,0.0084,0.00915,0.02295,0.00835,0.02683,0.02678,0.02683,6.14251,5.6521,6.17106,70.97,23.39,70.41,43.779,37.629,17083.0,7397.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,1422.0000000,-,0.00936,0.02757,0.0083,0.00906,0.02295,0.00825,0.0266,0.02678,0.02659,6.14266,5.65601,6.17099,70.91,23.45,70.34,43.508,37.627,17081.0,7399.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,1580.0000000,-,0.00936,0.02757,0.0083,0.00906,0.02295,0.00825,0.0266,0.02678,0.02659,6.14196,5.65337,6.1704,70.97,23.39,70.41,43.738,37.714,17078.0,7402.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,1738.0000000,-,0.00939,0.02757,0.00833,0.00906,0.02295,0.00825,0.0266,0.02678,0.02659,6.14185,5.65339,6.17028,70.91,23.45,70.34,43.609,37.788,17075.0,7405.0,24480==24480.0
AmazonOffice,PF,005%,020%,C,1896.0000000,-,0.00937,0.02757,0.00831,0.00902,0.02295,0.00821,0.02615,0.02678,0.02611,6.14341,5.65542,6.17181,71.03,23.39,70.47,43.311,37.744,17069.0,7411.0,24480==24480.0
