Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonToy,BPR,005%,020%,N,-,-,0.00636,0.01922,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67059,5.67048,5.67059,0.63,0.63,0.63,113.669,148.888,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,0.0000000,-,0.00644,0.01982,0.00566,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.6734,5.67555,5.67328,0.92,0.92,0.75,112.97,148.382,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,21.5833333,-,0.00644,0.01982,0.00566,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67242,5.67555,5.67223,0.92,0.92,0.75,112.97,148.528,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,43.1666667,-,0.00639,0.01982,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67165,5.67555,5.67142,0.92,0.92,0.75,112.97,148.689,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,64.7500000,-,0.00639,0.01982,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.6712,5.67555,5.67094,0.92,0.92,0.75,112.97,148.781,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,86.3333333,-,0.00638,0.01956,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67104,5.66891,5.67116,0.87,0.87,0.75,113.163,148.795,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,107.9166667,-,0.00638,0.01956,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67105,5.67415,5.67087,0.81,0.81,0.75,113.162,148.793,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,129.5000000,-,0.00638,0.01956,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67109,5.67415,5.67091,0.81,0.81,0.69,113.162,148.787,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,151.0833333,-,0.00638,0.01956,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67113,5.67415,5.67095,0.81,0.81,0.69,113.162,148.781,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,172.6666667,-,0.00637,0.01943,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67105,5.67365,5.6709,0.81,0.81,0.69,113.23,148.789,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,194.2500000,-,0.00637,0.01943,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67086,5.67365,5.6707,0.81,0.81,0.69,113.23,148.821,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,215.8333333,-,0.00636,0.01926,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67069,5.67263,5.67058,0.69,0.69,0.69,113.372,148.842,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,237.4166667,-,0.00636,0.01922,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67049,5.67164,5.67042,0.69,0.69,0.69,113.509,148.866,21700.0,0.0,21700==21700.0
AmazonToy,BPR,005%,020%,C,259.0000000,-,0.00636,0.01922,0.00561,0.00591,0.01759,0.00523,0.01805,0.0186,0.01802,5.67059,5.67048,5.67059,0.63,0.63,0.63,113.669,148.888,21700.0,0.0,21700==21700.0
