Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonToy,MostPop,005%,020%,N,-,-,0.00666,0.02589,0.00554,0.00632,0.025,0.00523,0.01785,0.02597,0.01738,5.66953,5.66804,5.66961,0.69,0.69,0.69,114.089,149.144,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,0.0000000,-,0.0068,0.02636,0.00566,0.00647,0.025,0.00539,0.01885,0.02597,0.01844,5.67198,5.67403,5.67186,0.87,0.87,0.75,113.276,148.73,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,20.0833333,-,0.00684,0.02668,0.00568,0.00652,0.02593,0.00539,0.0186,0.02712,0.0181,5.67152,5.67403,5.67137,0.87,0.87,0.75,113.276,148.824,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,40.1666667,-,0.00682,0.02619,0.00569,0.00652,0.025,0.00544,0.01833,0.02597,0.01788,5.67087,5.67419,5.67067,0.87,0.87,0.75,113.253,148.904,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,60.2500000,-,0.00676,0.02603,0.00563,0.00647,0.025,0.00539,0.01832,0.02597,0.01787,5.67701,5.6771,5.677,0.87,0.87,0.75,112.856,147.903,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,80.3333333,-,0.00674,0.0266,0.00558,0.00642,0.02593,0.00528,0.01797,0.02654,0.01747,5.67048,5.67308,5.67033,0.87,0.87,0.75,113.404,148.97,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,100.4166667,-,0.00677,0.02584,0.00566,0.00642,0.025,0.00534,0.01845,0.02597,0.01801,5.67011,5.67268,5.66996,0.87,0.87,0.75,113.459,149.032,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,120.5000000,-,0.00678,0.02584,0.00567,0.00647,0.025,0.00539,0.01866,0.02597,0.01823,5.66969,5.66664,5.66986,0.87,0.87,0.75,113.568,149.104,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,140.5833333,-,0.00673,0.02582,0.00562,0.00637,0.025,0.00528,0.0184,0.02597,0.01796,5.66966,5.66925,5.66968,0.75,0.75,0.75,113.925,149.085,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,160.6666667,-,0.00666,0.02576,0.00555,0.00632,0.025,0.00523,0.01788,0.02597,0.01741,5.66948,5.66965,5.66947,0.75,0.75,0.75,113.87,149.118,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,180.7500000,-,0.00677,0.02683,0.0056,0.00642,0.02593,0.00528,0.01868,0.02712,0.01819,5.67524,5.66963,5.67556,0.75,0.75,0.75,113.16,148.198,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,200.8333333,-,0.00678,0.02771,0.00556,0.00652,0.02685,0.00534,0.0179,0.02789,0.01732,5.67577,5.67688,5.6757,0.69,0.69,0.69,112.883,148.127,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,220.9166667,-,0.00681,0.02717,0.00562,0.00652,0.02593,0.00539,0.01844,0.02674,0.01796,5.67518,5.67567,5.67515,0.69,0.69,0.69,113.047,148.215,21700.0,0.0,21700==21700.0
AmazonToy,MostPop,005%,020%,C,241.0000000,-,0.0067,0.02686,0.00553,0.00637,0.02593,0.00523,0.0179,0.02674,0.01738,5.66982,5.67146,5.66972,0.69,0.69,0.69,113.623,149.127,21700.0,0.0,21700==21700.0
