Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonToy,NeuMF,005%,020%,N,-,-,0.00717,0.02556,0.0061,0.00611,0.02037,0.00528,0.01771,0.02074,0.01753,5.72807,5.73742,5.72753,4.44,3.87,4.27,104.755,140.09,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,0.0000000,-,0.00702,0.0236,0.00606,0.00596,0.01759,0.00528,0.01755,0.01791,0.01753,5.73139,5.7408,5.73085,4.44,3.92,4.27,104.289,139.487,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,23.9166667,-,0.00702,0.0236,0.00606,0.00596,0.01759,0.00528,0.01755,0.01791,0.01753,5.73088,5.74008,5.73035,4.44,3.87,4.27,104.381,139.522,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,47.8333333,-,0.00705,0.02416,0.00606,0.00601,0.01852,0.00528,0.01761,0.01894,0.01753,5.73065,5.73426,5.73044,4.44,3.87,4.27,104.444,139.563,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,71.7500000,-,0.00705,0.02416,0.00605,0.00601,0.01852,0.00528,0.01761,0.01894,0.01753,5.7302,5.73966,5.72964,4.44,3.87,4.27,104.431,139.651,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,95.6666667,-,0.00705,0.02416,0.00605,0.00601,0.01852,0.00528,0.01761,0.01894,0.01753,5.72986,5.73966,5.72929,4.44,3.87,4.27,104.431,139.715,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,119.5833333,-,0.00708,0.02497,0.00604,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72977,5.73843,5.72926,4.44,3.87,4.27,104.6,139.777,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,143.5000000,-,0.00707,0.02497,0.00603,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72897,5.73843,5.72842,4.44,3.87,4.27,104.6,139.871,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,167.4166667,-,0.00707,0.02497,0.00603,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72877,5.73863,5.7282,4.44,3.87,4.27,104.572,139.912,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,191.3333333,-,0.00714,0.02497,0.0061,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72843,5.73841,5.72785,4.44,3.87,4.27,104.604,139.973,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,215.2500000,-,0.00715,0.02497,0.00611,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72812,5.73792,5.72755,4.44,3.87,4.27,104.664,140.033,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,239.1666667,-,0.00715,0.02497,0.00611,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72794,5.73711,5.7274,4.44,3.87,4.27,104.792,140.059,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,263.0833333,-,0.00714,0.02497,0.0061,0.00606,0.01944,0.00528,0.01765,0.01971,0.01753,5.72782,5.73236,5.72756,4.44,3.87,4.27,104.707,140.085,21700.0,0.0,21700==21700.0
AmazonToy,NeuMF,005%,020%,C,287.0000000,-,0.00717,0.02556,0.0061,0.00611,0.02037,0.00528,0.01771,0.02074,0.01753,5.72807,5.73742,5.72753,4.44,3.87,4.27,104.755,140.09,21700.0,0.0,21700==21700.0
