Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonToy,PF,005%,020%,N,-,-,0.00851,0.03137,0.00718,0.008,0.03056,0.00668,0.02699,0.02905,0.02687,6.87636,6.66202,6.88884,75.71,31.79,75.19,18.475,20.773,11399.0,10301.0,21700==21700.0
AmazonToy,PF,005%,020%,C,0.0000000,-,0.00901,0.03007,0.00778,0.00851,0.02963,0.00728,0.02874,0.02812,0.02878,6.87477,6.62923,6.88907,76.46,30.99,75.76,20.97,20.888,11405.000000000002,10294.999999999998,21700==21700.0
AmazonToy,PF,005%,020%,C,110.4166667,-,0.00896,0.03032,0.00771,0.00841,0.02963,0.00717,0.02853,0.02812,0.02855,6.87483,6.6414,6.88842,76.46,31.45,75.76,19.777,20.916,11402.583333333336,10297.416666666664,21700==21700.0
AmazonToy,PF,005%,020%,C,220.8333333,-,0.00895,0.0315,0.00763,0.00846,0.03056,0.00717,0.02858,0.02905,0.02855,6.87494,6.64763,6.88818,76.4,31.51,75.76,19.261,20.939,11400.0,10300.0,21700==21700.0
AmazonToy,PF,005%,020%,C,331.2500000,-,0.00883,0.0315,0.00751,0.00835,0.03056,0.00706,0.02835,0.02905,0.02831,6.87481,6.64747,6.88804,76.4,31.68,75.76,19.426,20.953,11402.249999999998,10297.750000000002,21700==21700.0
AmazonToy,PF,005%,020%,C,441.6666667,-,0.00883,0.0315,0.00751,0.00835,0.03056,0.00706,0.02835,0.02905,0.02831,6.87481,6.65324,6.88771,76.46,31.91,75.82,19.015,20.975,11404.0,10296.0,21700==21700.0
AmazonToy,PF,005%,020%,C,552.0833333,-,0.00879,0.0315,0.00747,0.0083,0.03056,0.00701,0.02818,0.02905,0.02813,6.87535,6.65991,6.88789,76.34,31.97,75.71,18.599,20.944,11399.0,10301.0,21700==21700.0
AmazonToy,PF,005%,020%,C,662.5000000,-,0.0088,0.0315,0.00747,0.0083,0.03056,0.00701,0.02818,0.02905,0.02813,6.87474,6.66378,6.88702,76.28,32.03,75.65,18.357,21.043,11407.0,10293.0,21700==21700.0
AmazonToy,PF,005%,020%,C,772.9166667,-,0.00864,0.0315,0.00731,0.0082,0.03056,0.0069,0.02775,0.02905,0.02768,6.87444,6.66031,6.88691,76.28,31.79,75.65,18.599,21.051,11409.916666666672,10290.083333333328,21700==21700.0
AmazonToy,PF,005%,020%,C,883.3333333,-,0.00863,0.03137,0.0073,0.0082,0.03056,0.0069,0.02775,0.02905,0.02768,6.87508,6.66146,6.88752,76.05,31.85,75.42,18.407,20.973,11408.0,10292.0,21700==21700.0
AmazonToy,PF,005%,020%,C,993.7500000,-,0.00868,0.03137,0.00736,0.0082,0.03056,0.0069,0.02775,0.02905,0.02768,6.87542,6.65681,6.88815,76.0,31.74,75.36,18.337,20.891,11403.0,10297.0,21700==21700.0
AmazonToy,PF,005%,020%,C,1104.1666667,-,0.00858,0.03137,0.00725,0.0081,0.03056,0.00679,0.02733,0.02905,0.02723,6.87585,6.66154,6.88832,75.94,31.74,75.3,18.521,20.859,11397.0,10303.0,21700==21700.0
AmazonToy,PF,005%,020%,C,1214.5833333,-,0.0085,0.03137,0.00717,0.008,0.03056,0.00668,0.02699,0.02905,0.02687,6.87609,6.66062,6.88863,75.82,31.74,75.25,18.562,20.77,11394.0,10306.0,21700==21700.0
AmazonToy,PF,005%,020%,C,1325.0000000,-,0.00851,0.03137,0.00718,0.008,0.03056,0.00668,0.02699,0.02905,0.02687,6.87636,6.66202,6.88884,75.71,31.79,75.19,18.475,20.773,11399.0,10301.0,21700==21700.0
