Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
BookCrossing,MostPop,005%,020%,N,-,-,0.01792,0.04229,0.01656,0.01616,0.0386,0.01491,0.04204,0.03797,0.04227,4.44682,4.44638,4.44684,1.08,1.08,1.08,163.794,152.499,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,0.0000000,-,0.01708,0.02611,0.01657,0.0157,0.02456,0.0152,0.04212,0.02382,0.04314,4.45223,4.51403,4.44879,4.42,4.42,1.47,152.237,151.774,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,36.0833333,-,0.01735,0.02835,0.01674,0.01588,0.02632,0.0153,0.04254,0.02732,0.04338,4.45136,4.51148,4.44802,4.02,4.02,1.37,152.511,151.86,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,72.1666667,-,0.01686,0.03251,0.01599,0.01542,0.02807,0.01472,0.04006,0.02927,0.04066,4.46941,4.52285,4.46644,3.73,3.73,1.47,149.176,148.725,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,108.2500000,-,0.01722,0.02773,0.01664,0.01588,0.02632,0.0153,0.0427,0.02732,0.04355,4.44545,4.51472,4.4416,3.93,3.93,1.37,151.996,153.226,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,144.3333333,-,0.01705,0.02726,0.01649,0.0156,0.02632,0.01501,0.04154,0.02732,0.04232,4.4437,4.49787,4.44069,3.24,3.24,1.37,153.549,153.499,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,180.4166667,-,0.01695,0.03065,0.01619,0.01533,0.02807,0.01462,0.04024,0.02867,0.04088,4.46447,4.4926,4.4629,2.36,2.36,1.47,154.394,149.516,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,216.5000000,-,0.01728,0.03704,0.01618,0.01551,0.03333,0.01452,0.04054,0.03368,0.04092,4.4696,4.48321,4.46884,1.57,1.57,1.47,157.148,148.411,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,252.5833333,-,0.01782,0.04116,0.01652,0.01625,0.03684,0.01511,0.04271,0.03662,0.04305,4.44165,4.45814,4.44073,1.47,1.47,1.18,161.759,153.429,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,288.6666667,-,0.01772,0.04201,0.01637,0.01607,0.03684,0.01491,0.04204,0.03602,0.04237,4.44119,4.44986,4.44071,1.47,1.47,1.18,161.879,153.519,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,324.7500000,-,0.01737,0.03213,0.01655,0.01552,0.03177,0.01462,0.04124,0.0303,0.04184,4.46909,4.45915,4.46964,1.37,1.37,1.08,159.897,148.366,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,360.8333333,-,0.01796,0.04,0.01673,0.01634,0.03684,0.0152,0.04273,0.03602,0.0431,4.44026,4.43692,4.44045,1.08,1.08,1.08,165.494,153.506,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,396.9166667,-,0.01766,0.04,0.01642,0.01625,0.03684,0.01511,0.04245,0.03602,0.0428,4.43982,4.43915,4.43986,1.08,1.08,1.08,165.065,153.616,11360.0,0.0,11360==11360.0
BookCrossing,MostPop,005%,020%,C,433.0000000,-,0.01763,0.04021,0.01638,0.01597,0.03684,0.01481,0.04194,0.03602,0.04227,4.43985,4.4401,4.43984,1.08,1.08,1.08,164.885,153.7,11360.0,0.0,11360==11360.0
