Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Epinion,BPR,005%,020%,N,-,-,0.02967,0.05504,0.02833,0.02507,0.04925,0.0238,0.03726,0.02253,0.03804,3.70298,3.70307,3.70297,0.63,0.63,0.49,257.095,206.271,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,0.0000000,-,0.03161,0.03836,0.03125,0.02683,0.03284,0.02652,0.04086,0.01583,0.04219,3.6658,3.57665,3.67051,1.55,1.55,0.78,291.545,217.278,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,142.2500000,-,0.03136,0.03948,0.03094,0.02672,0.03433,0.02632,0.04073,0.01658,0.042,3.66346,3.57652,3.66805,1.55,1.55,0.78,291.568,217.561,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,284.5000000,-,0.0311,0.04013,0.03062,0.0265,0.03507,0.02604,0.04042,0.01683,0.04167,3.66735,3.57594,3.67218,1.5,1.5,0.78,290.944,216.218,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,426.7500000,-,0.03075,0.04103,0.03021,0.02627,0.03657,0.02573,0.0401,0.01742,0.0413,3.6654,3.57331,3.67026,1.5,1.5,0.78,292.001,216.338,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,569.0000000,-,0.03059,0.04171,0.03,0.02609,0.03731,0.02549,0.0398,0.01766,0.04097,3.66902,3.57496,3.67399,1.41,1.41,0.78,291.261,215.14,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,711.2500000,-,0.03026,0.04318,0.02958,0.02575,0.03806,0.0251,0.03917,0.01785,0.04029,3.67167,3.57904,3.67656,1.41,1.41,0.73,290.245,214.284,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,853.5000000,-,0.03028,0.04558,0.02947,0.02576,0.04104,0.02495,0.03902,0.01875,0.04009,3.67079,3.59109,3.675,1.26,1.26,0.68,287.107,214.433,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,995.7500000,-,0.02995,0.04562,0.02912,0.02545,0.04104,0.02463,0.03851,0.01875,0.03956,3.67498,3.59616,3.67914,1.21,1.21,0.68,285.923,212.97,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,1138.0000000,-,0.03006,0.04612,0.02921,0.02545,0.04179,0.02459,0.0385,0.01899,0.03953,3.68003,3.60176,3.68416,1.07,1.07,0.68,284.833,211.582,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,1280.2500000,-,0.02991,0.04713,0.029,0.02534,0.04328,0.02439,0.03829,0.02003,0.03926,3.68426,3.60421,3.68849,1.02,1.02,0.68,284.143,210.159,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,1422.5000000,-,0.03,0.05213,0.02883,0.0253,0.04552,0.02423,0.03782,0.02067,0.03872,3.68815,3.65762,3.68976,0.78,0.78,0.63,270.873,209.826,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,1564.7500000,-,0.03005,0.05319,0.02883,0.02526,0.04701,0.02411,0.03773,0.0217,0.03858,3.69387,3.66292,3.6955,0.68,0.68,0.53,269.87,208.266,26770.0,0.0,26770==26770.0
Epinion,BPR,005%,020%,C,1707.0000000,-,0.02967,0.05504,0.02833,0.02507,0.04925,0.0238,0.03726,0.02253,0.03804,3.70298,3.70307,3.70297,0.63,0.63,0.49,257.095,206.271,26770.0,0.0,26770==26770.0
