Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Epinion,VAECF,005%,020%,N,-,-,0.04441,0.08014,0.04252,0.04132,0.0791,0.03932,0.05987,0.03395,0.06124,4.40611,4.60963,4.39537,31.07,16.8,30.34,123.222,123.408,24602.0,2168.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0000000,-,0.04817,0.02379,0.04945,0.0439,0.02239,0.04504,0.06678,0.00962,0.0698,4.43826,4.61985,4.42867,31.36,17.86,30.53,124.216,117.931,24522.0,2248.0,26770==26770.0
Epinion,VAECF,005%,020%,C,309.3333333,-,0.04772,0.03,0.04866,0.04364,0.02836,0.04444,0.06604,0.0115,0.06892,4.43298,4.6035,4.42397,31.26,17.57,30.49,125.947,118.776,24538.0,2232.0,26770==26770.0
Epinion,VAECF,005%,020%,C,618.6666667,-,0.04734,0.03644,0.04791,0.04338,0.03358,0.04389,0.06534,0.01378,0.06806,4.42911,4.60226,4.41996,31.36,17.38,30.49,125.633,119.435,24546.0,2224.0,26770==26770.0
Epinion,VAECF,005%,020%,C,928.0000000,-,0.04689,0.04221,0.04714,0.04308,0.0403,0.04322,0.06439,0.01661,0.06691,4.42715,4.60451,4.41779,31.21,17.14,30.49,125.946,119.791,24546.0,2224.0,26770==26770.0
Epinion,VAECF,005%,020%,C,1237.3333333,-,0.04635,0.04537,0.04641,0.04263,0.04328,0.04259,0.06344,0.01809,0.06583,4.42466,4.60644,4.41507,31.21,17.28,30.49,124.919,120.288,24552.0,2218.0,26770==26770.0
Epinion,VAECF,005%,020%,C,1546.6666667,-,0.04607,0.04879,0.04593,0.04244,0.04701,0.0422,0.063,0.01981,0.06528,4.42125,4.61385,4.41108,31.12,17.33,30.39,124.084,120.874,24550.0,2220.0,26770==26770.0
Epinion,VAECF,005%,020%,C,1856.0000000,-,0.04577,0.05435,0.04532,0.04237,0.05224,0.04184,0.06262,0.02194,0.06477,4.42004,4.61751,4.40962,31.17,17.43,30.44,124.912,121.159,24553.0,2217.0,26770==26770.0
Epinion,VAECF,005%,020%,C,2165.3333333,-,0.04566,0.05942,0.04493,0.04229,0.05821,0.04145,0.06218,0.02441,0.06418,4.41815,4.62291,4.40734,31.26,17.38,30.53,123.353,121.525,24562.0,2208.0,26770==26770.0
Epinion,VAECF,005%,020%,C,2474.6666667,-,0.04527,0.06449,0.04425,0.04207,0.06343,0.04094,0.0616,0.0265,0.06345,4.41506,4.61956,4.40426,31.17,17.38,30.44,123.483,122.112,24569.0,2201.0,26770==26770.0
Epinion,VAECF,005%,020%,C,2784.0000000,-,0.04495,0.067,0.04379,0.04188,0.06716,0.04054,0.06109,0.02866,0.06281,4.41235,4.62033,4.40137,31.07,17.28,30.34,122.567,122.648,24575.0,2195.0,26770==26770.0
Epinion,VAECF,005%,020%,C,3093.3333333,-,0.04477,0.07074,0.0434,0.04169,0.0709,0.04015,0.06075,0.03043,0.06236,4.40998,4.62074,4.39885,31.12,17.04,30.44,121.945,122.994,24585.0,2185.0,26770==26770.0
Epinion,VAECF,005%,020%,C,3402.6666667,-,0.04431,0.07352,0.04277,0.04135,0.07388,0.03964,0.06015,0.03203,0.06164,4.40769,4.61271,4.39687,31.02,16.94,30.29,122.9,123.265,24587.0,2183.0,26770==26770.0
Epinion,VAECF,005%,020%,C,3712.0000000,-,0.04441,0.08014,0.04252,0.04132,0.0791,0.03932,0.05987,0.03395,0.06124,4.40611,4.60963,4.39537,31.07,16.8,30.34,123.222,123.408,24602.0,2168.0,26770==26770.0
