Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Epinion,WMF,005%,020%,N,-,-,0.02349,0.05768,0.02169,0.02253,0.05448,0.02084,0.0317,0.02368,0.03212,4.94831,4.86189,4.95287,29.13,10.83,29.13,72.469,41.703,25225.0,1545.0,26770==26770.0
Epinion,WMF,005%,020%,C,0.0000000,-,0.02546,0.04172,0.0246,0.0241,0.04179,0.02317,0.03468,0.01857,0.03553,4.95879,4.84991,4.96454,27.09,10.92,27.09,74.201,39.559,25335.0,1435.0,26770==26770.0
Epinion,WMF,005%,020%,C,218.5000000,-,0.0252,0.043,0.02426,0.02403,0.04328,0.02301,0.03444,0.0191,0.03525,4.95718,4.85227,4.96272,27.23,10.87,27.23,73.711,39.735,25334.0,1436.0,26770==26770.0
Epinion,WMF,005%,020%,C,437.0000000,-,0.02521,0.0467,0.02407,0.02395,0.04627,0.02277,0.03414,0.02057,0.03486,4.95704,4.85662,4.96235,27.28,10.92,27.28,73.146,39.863,25315.0,1455.0,26770==26770.0
Epinion,WMF,005%,020%,C,655.5000000,-,0.0251,0.0494,0.02381,0.02388,0.04851,0.02258,0.03394,0.02143,0.0346,4.95556,4.85149,4.96106,27.38,10.87,27.38,74.085,40.058,25305.0,1465.0,26770==26770.0
Epinion,WMF,005%,020%,C,874.0000000,-,0.02485,0.05046,0.0235,0.02376,0.04925,0.02242,0.03378,0.02177,0.03441,4.95451,4.85648,4.95968,27.52,10.92,27.52,73.506,40.247,25297.0,1473.0,26770==26770.0
Epinion,WMF,005%,020%,C,1092.5000000,-,0.02478,0.05292,0.0233,0.02373,0.05075,0.02231,0.03367,0.02223,0.03427,4.95251,4.86002,4.95739,27.67,10.92,27.67,73.036,40.57,25292.0,1478.0,26770==26770.0
Epinion,WMF,005%,020%,C,1311.0000000,-,0.02465,0.05357,0.02312,0.02362,0.05075,0.02218,0.03354,0.02223,0.03414,4.95083,4.85728,4.95577,27.96,10.83,27.96,73.263,40.845,25285.0,1485.0,26770==26770.0
Epinion,WMF,005%,020%,C,1529.5000000,-,0.0243,0.05442,0.02271,0.02332,0.05149,0.02183,0.03299,0.02247,0.03355,4.95057,4.85894,4.9554,28.25,10.87,28.25,72.986,40.968,25268.0,1502.0,26770==26770.0
Epinion,WMF,005%,020%,C,1748.0000000,-,0.02422,0.05543,0.02257,0.02328,0.05224,0.02175,0.03292,0.02271,0.03346,4.95026,4.85863,4.95509,28.35,10.87,28.35,73.15,41.147,25255.0,1515.0,26770==26770.0
Epinion,WMF,005%,020%,C,1966.5000000,-,0.02406,0.0556,0.02239,0.02302,0.05224,0.02147,0.03244,0.02271,0.03296,4.949,4.85917,4.95374,28.5,10.87,28.5,72.955,41.329,25247.0,1523.0,26770==26770.0
Epinion,WMF,005%,020%,C,2185.0000000,-,0.02368,0.05582,0.02199,0.02268,0.05224,0.02112,0.03196,0.02271,0.03245,4.94856,4.86128,4.95317,28.74,10.92,28.74,72.617,41.518,25239.0,1531.0,26770==26770.0
Epinion,WMF,005%,020%,C,2403.5000000,-,0.02358,0.05647,0.02185,0.02257,0.05299,0.02096,0.03183,0.02297,0.03229,4.94798,4.86496,4.95236,28.98,10.92,28.98,72.342,41.706,25225.0,1545.0,26770==26770.0
Epinion,WMF,005%,020%,C,2622.0000000,-,0.02349,0.05768,0.02169,0.02253,0.05448,0.02084,0.0317,0.02368,0.03212,4.94831,4.86189,4.95287,29.13,10.83,29.13,72.469,41.703,25225.0,1545.0,26770==26770.0
