Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Foursquare,BPR,005%,020%,N,-,-,0.02995,0.03719,0.02957,0.02649,0.03205,0.02619,0.04983,0.03239,0.05076,3.54606,3.54606,3.54606,0.68,0.68,0.68,202.239,181.008,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,0.0000000,-,0.03091,0.01667,0.03167,0.02733,0.0141,0.02803,0.05172,0.01204,0.05383,3.59756,3.62834,3.59593,2.94,2.94,1.03,188.3,164.667,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,104.1666667,-,0.03104,0.01973,0.03164,0.0274,0.01681,0.02796,0.05167,0.01528,0.0536,3.59822,3.63682,3.59617,2.6,2.6,1.03,180.936,164.378,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,208.3333333,-,0.0313,0.02562,0.0316,0.02765,0.02308,0.02789,0.05206,0.02463,0.05352,3.59563,3.61197,3.59476,1.85,1.85,0.96,185.357,164.439,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,312.5000000,-,0.03119,0.02887,0.03131,0.02746,0.02564,0.02756,0.05161,0.02787,0.05287,3.59394,3.60273,3.59348,1.78,1.78,0.96,189.247,164.334,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,416.6666667,-,0.03136,0.03387,0.03122,0.02752,0.02949,0.02741,0.05158,0.03117,0.05266,3.59252,3.59274,3.59251,1.3,1.3,0.96,188.487,164.442,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,520.8333333,-,0.03133,0.03383,0.0312,0.02745,0.02949,0.02735,0.05151,0.03117,0.05259,3.59269,3.58056,3.59333,1.3,1.3,0.96,192.776,164.333,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,625.0000000,-,0.03141,0.03551,0.03119,0.02745,0.03077,0.02728,0.05146,0.03175,0.0525,3.5915,3.57208,3.59253,1.03,1.03,0.89,195.103,165.047,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,729.1666667,-,0.03119,0.03551,0.03096,0.02727,0.03077,0.02708,0.05118,0.03175,0.05221,3.58482,3.56153,3.58606,1.03,1.03,0.82,198.306,166.984,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,833.3333333,-,0.03107,0.03723,0.03074,0.02714,0.03205,0.02688,0.05087,0.03239,0.05185,3.57805,3.55092,3.57949,0.82,0.82,0.82,200.81,169.243,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,937.5000000,-,0.03049,0.03719,0.03014,0.02687,0.03205,0.0266,0.05052,0.03239,0.05148,3.56627,3.54817,3.56723,0.82,0.82,0.82,201.717,173.394,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,1041.6666667,-,0.03025,0.03719,0.02989,0.02668,0.03205,0.02639,0.05023,0.03239,0.05118,3.55518,3.54817,3.55555,0.82,0.82,0.82,201.717,177.495,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,1145.8333333,-,0.03005,0.03719,0.02968,0.02661,0.03205,0.02633,0.05014,0.03239,0.05108,3.54565,3.54666,3.5456,0.82,0.82,0.82,202.019,181.007,15680.0,0.0,15680==15680.0
Foursquare,BPR,005%,020%,C,1250.0000000,-,0.02995,0.03719,0.02957,0.02649,0.03205,0.02619,0.04983,0.03239,0.05076,3.54606,3.54606,3.54606,0.68,0.68,0.68,202.239,181.008,15680.0,0.0,15680==15680.0
