Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Foursquare,MostPop,005%,020%,N,-,-,0.03044,0.03683,0.0301,0.02687,0.03205,0.0266,0.0515,0.03197,0.05254,3.54657,3.54657,3.54657,0.68,0.68,0.68,217.676,195.36,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,0.0000000,-,0.03115,0.00941,0.0323,0.02739,0.00641,0.0285,0.05372,0.00533,0.05628,3.59465,3.56278,3.59634,3.35,3.35,1.1,235.499,179.809,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,105.0000000,-,0.03112,0.01148,0.03217,0.02733,0.00897,0.0283,0.05349,0.00787,0.05591,3.59584,3.60493,3.59536,3.22,3.22,1.1,220.536,179.93,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,210.0000000,-,0.03123,0.01427,0.03213,0.02745,0.01282,0.02823,0.05342,0.01293,0.05557,3.59702,3.64469,3.59449,3.08,3.08,1.1,203.809,180.024,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,315.0000000,-,0.03132,0.01871,0.03199,0.02752,0.01795,0.02803,0.05329,0.01931,0.0551,3.59476,3.61709,3.59357,2.12,2.12,0.89,209.742,180.081,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,420.0000000,-,0.03137,0.01871,0.03204,0.02758,0.01795,0.0281,0.05358,0.01931,0.05539,3.59545,3.61709,3.5943,2.12,2.12,0.89,209.742,179.847,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,525.0000000,-,0.03206,0.03579,0.03186,0.02797,0.03077,0.02782,0.05356,0.0313,0.05474,3.59857,3.57481,3.59983,1.64,1.64,0.89,219.953,179.196,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,630.0000000,-,0.03215,0.03686,0.0319,0.02817,0.03205,0.02796,0.05388,0.03197,0.05504,3.59166,3.56833,3.59289,1.16,1.16,0.89,217.779,179.992,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,735.0000000,-,0.03169,0.03683,0.03142,0.02765,0.03205,0.02741,0.05281,0.03197,0.05391,3.59195,3.56224,3.59353,1.1,1.1,0.89,215.986,181.046,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,840.0000000,-,0.03136,0.03683,0.03107,0.02745,0.03205,0.02721,0.05282,0.03197,0.05392,3.58465,3.55414,3.58627,0.82,0.82,0.82,216.285,183.412,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,945.0000000,-,0.03105,0.03683,0.03075,0.02733,0.03205,0.02707,0.05234,0.03197,0.05342,3.57165,3.54795,3.5729,0.82,0.82,0.82,218.656,187.585,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,1050.0000000,-,0.03074,0.03683,0.03042,0.027,0.03205,0.02673,0.05167,0.03197,0.05272,3.55934,3.54795,3.55995,0.82,0.82,0.82,218.656,191.772,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,1155.0000000,-,0.03067,0.03683,0.03035,0.02713,0.03205,0.02687,0.05186,0.03197,0.05291,3.5481,3.54795,3.54811,0.82,0.82,0.82,218.656,195.559,15680.0,0.0,15680==15680.0
Foursquare,MostPop,005%,020%,C,1260.0000000,-,0.03044,0.03683,0.0301,0.02687,0.03205,0.0266,0.0515,0.03197,0.05254,3.54657,3.54657,3.54657,0.68,0.68,0.68,217.676,195.36,15680.0,0.0,15680==15680.0
