Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Foursquare,NeuMF,005%,020%,N,-,-,0.02988,0.03192,0.02977,0.02733,0.02949,0.02721,0.05251,0.0305,0.05368,3.67938,3.67549,3.67959,4.59,3.56,4.59,185.546,160.292,15677.0,3.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,0.0000000,-,0.03271,0.01213,0.03381,0.02939,0.01282,0.03027,0.0582,0.01209,0.06064,3.69494,3.693,3.69504,5.27,4.86,4.65,206.451,156.432,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,103.3333333,-,0.03252,0.0126,0.03358,0.02933,0.0141,0.03014,0.05809,0.01465,0.0604,3.69748,3.71348,3.69663,5.07,4.52,4.65,193.935,155.879,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,206.6666667,-,0.0326,0.01715,0.03342,0.02933,0.01795,0.02993,0.05787,0.01892,0.05993,3.69817,3.71991,3.69702,5.0,4.24,4.65,184.335,155.714,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,310.0000000,-,0.0326,0.0182,0.03337,0.02933,0.01923,0.02986,0.05729,0.02035,0.05925,3.69793,3.72629,3.69642,4.93,4.11,4.65,180.13,155.807,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,413.3333333,-,0.03259,0.02416,0.03303,0.0292,0.02308,0.02952,0.05672,0.02576,0.05837,3.69975,3.73567,3.69785,4.86,3.97,4.65,174.737,155.309,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,516.6666667,-,0.03252,0.02641,0.03285,0.02908,0.0245,0.02932,0.05611,0.02634,0.05769,3.70061,3.71339,3.69994,4.72,3.7,4.65,177.239,154.886,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,620.0000000,-,0.03242,0.02619,0.03275,0.02894,0.02436,0.02918,0.05601,0.02634,0.05759,3.69922,3.7051,3.69891,4.72,3.63,4.65,179.494,154.912,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,723.3333333,-,0.03198,0.02619,0.03229,0.02875,0.02436,0.02898,0.05564,0.02634,0.05719,3.69631,3.68157,3.6971,4.65,3.63,4.59,185.269,155.119,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,826.6666667,-,0.03084,0.02703,0.03104,0.02811,0.02564,0.02824,0.05443,0.0271,0.05588,3.69519,3.67266,3.69639,4.59,3.63,4.52,187.317,154.971,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,930.0000000,-,0.03077,0.03062,0.03078,0.02804,0.02821,0.02803,0.05433,0.02992,0.05562,3.69107,3.66576,3.69241,4.45,3.56,4.45,189.348,155.792,15679.0,1.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,1033.3333333,-,0.03063,0.03062,0.03063,0.02798,0.02821,0.02797,0.05417,0.02992,0.05545,3.68873,3.66832,3.68982,4.59,3.56,4.59,188.138,156.616,15677.0,3.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,1136.6666667,-,0.03022,0.03062,0.0302,0.02765,0.02821,0.02762,0.0534,0.02992,0.05465,3.68396,3.6705,3.68467,4.59,3.56,4.59,187.337,158.443,15677.0,3.0,15680==15680.0
Foursquare,NeuMF,005%,020%,C,1240.0000000,-,0.02988,0.03192,0.02977,0.02733,0.02949,0.02721,0.05251,0.0305,0.05368,3.67938,3.67549,3.67959,4.59,3.56,4.59,185.546,160.292,15677.0,3.0,15680==15680.0
