Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Foursquare,VAECF,005%,020%,N,-,-,0.03974,0.03878,0.03979,0.03391,0.03462,0.03388,0.0662,0.03496,0.06786,4.38942,4.45706,4.38583,26.01,13.69,25.6,105.921,98.082,13927.0,1753.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,0.0000000,-,0.04261,0.01135,0.04427,0.03572,0.00897,0.03714,0.07075,0.00705,0.07413,4.4277,4.39325,4.42953,26.69,14.99,25.53,141.16,87.871,13899.0,1781.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,144.6666667,-,0.04176,0.01394,0.04323,0.03521,0.01026,0.03653,0.06972,0.0079,0.073,4.42474,4.40885,4.42559,26.63,14.78,25.46,136.828,88.15,13906.666666666668,1773.3333333333335,15680==15680.000000000002
Foursquare,VAECF,005%,020%,C,289.3333333,-,0.04172,0.01736,0.04301,0.03534,0.0141,0.03646,0.06978,0.01135,0.07288,4.42134,4.41089,4.4219,26.42,14.51,25.33,134.394,88.759,13913.0,1767.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,434.0000000,-,0.04146,0.01841,0.04268,0.03521,0.01538,0.03626,0.06957,0.01391,0.07253,4.41815,4.39419,4.41942,26.28,14.31,25.33,135.172,89.316,13914.0,1766.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,578.6666667,-,0.04117,0.02159,0.0422,0.03496,0.01795,0.03586,0.06887,0.01642,0.07165,4.41264,4.37655,4.41455,26.01,13.89,25.26,136.021,90.391,13916.0,1764.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,723.3333333,-,0.04089,0.02321,0.04183,0.03489,0.01923,0.03572,0.0688,0.01749,0.07153,4.40851,4.39134,4.40943,25.8,13.83,25.19,131.072,91.796,13917.0,1763.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,868.0000000,-,0.04092,0.02689,0.04166,0.03495,0.02179,0.03565,0.06869,0.01949,0.0713,4.40395,4.40341,4.40398,25.6,13.76,25.12,125.081,93.413,13921.00000000001,1758.999999999991,15680==15680.0
Foursquare,VAECF,005%,020%,C,1012.6666667,-,0.04046,0.02689,0.04118,0.03456,0.02179,0.03524,0.06784,0.01949,0.0704,4.40166,4.41626,4.40089,25.67,13.96,25.19,120.896,94.154,13918.0,1762.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,1157.3333333,-,0.04051,0.03267,0.04093,0.0345,0.0245,0.03503,0.06773,0.0227,0.07012,4.39943,4.41655,4.39853,25.67,13.96,25.19,117.743,94.81,13919.0,1761.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,1302.0000000,-,0.0402,0.03291,0.04059,0.0345,0.02564,0.03497,0.06769,0.02355,0.07003,4.39683,4.42825,4.39516,25.8,13.96,25.33,115.83,95.769,13919.0,1761.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,1446.6666667,-,0.03978,0.03196,0.0402,0.03418,0.02564,0.03463,0.0672,0.02355,0.06952,4.39398,4.43936,4.39157,25.87,13.96,25.46,110.971,96.638,13923.0,1757.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,1591.3333333,-,0.03978,0.03465,0.04006,0.03392,0.02949,0.03416,0.06678,0.02694,0.0689,4.39066,4.45601,4.3872,25.94,14.1,25.53,106.743,97.579,13927.0,1753.0,15680==15680.0
Foursquare,VAECF,005%,020%,C,1736.0000000,-,0.03974,0.03878,0.03979,0.03391,0.03462,0.03388,0.0662,0.03496,0.06786,4.38942,4.45706,4.38583,26.01,13.69,25.6,105.921,98.082,13927.0,1753.0,15680==15680.0
