Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Gowalla,BPR,005%,020%,N,-,-,0.04153,0.09757,0.0386,0.03796,0.09464,0.03501,0.03361,0.03255,0.03366,2.93796,2.93839,2.93794,1.18,1.09,1.18,252.183,211.384,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,0.0000000,-,0.04375,0.05608,0.0431,0.03867,0.05357,0.0379,0.03586,0.01883,0.03675,2.98615,2.98713,2.9861,2.61,2.44,1.85,227.88,195.948,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,97.4166667,-,0.04399,0.06318,0.04299,0.03876,0.05893,0.03771,0.03579,0.02015,0.0366,2.98649,2.97184,2.98725,2.52,2.27,1.77,234.987,195.579,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,194.8333333,-,0.04375,0.06724,0.04252,0.03858,0.06071,0.03743,0.03568,0.0206,0.03647,2.9802,2.96815,2.98083,2.35,2.02,1.68,236.872,198.801,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,292.2500000,-,0.04372,0.06896,0.0424,0.0385,0.0625,0.03724,0.03533,0.02086,0.03608,2.97243,2.9633,2.9729,2.27,1.93,1.68,237.751,202.478,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,389.6666667,-,0.04306,0.06896,0.04171,0.03788,0.0625,0.03659,0.0345,0.02086,0.03521,2.96528,2.9633,2.96538,2.27,1.93,1.68,237.751,206.235,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,487.0833333,-,0.04263,0.07579,0.0409,0.0378,0.06786,0.03623,0.03427,0.0235,0.03483,2.95839,2.95896,2.95836,2.1,1.85,1.6,238.86,207.425,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,584.5000000,-,0.04229,0.07965,0.04034,0.03761,0.07143,0.03585,0.03371,0.02447,0.0342,2.95293,2.94841,2.95317,1.93,1.77,1.51,241.814,208.251,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,681.9166667,-,0.04223,0.0813,0.04019,0.03761,0.07321,0.03575,0.03373,0.02509,0.03418,2.94948,2.93382,2.9503,1.93,1.77,1.51,245.436,208.409,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,779.3333333,-,0.04214,0.08478,0.03992,0.0378,0.07679,0.03576,0.03376,0.02574,0.03418,2.9451,2.93452,2.94566,1.6,1.43,1.51,246.162,209.252,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,876.7500000,-,0.04153,0.08478,0.03928,0.03761,0.07679,0.03557,0.03366,0.02574,0.03407,2.94077,2.93365,2.94114,1.6,1.43,1.51,246.377,210.221,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,974.1666667,-,0.04178,0.09188,0.03917,0.03805,0.08571,0.03557,0.03382,0.02907,0.03407,2.93657,2.92623,2.93711,1.43,1.26,1.43,251.353,211.014,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,1071.5833333,-,0.04144,0.09344,0.03873,0.03782,0.0881,0.0352,0.03359,0.02961,0.0338,2.9333,2.92184,2.93389,1.35,1.26,1.35,252.679,211.67,11300.0,0.0,11300==11300.0
Gowalla,BPR,005%,020%,C,1169.0000000,-,0.04153,0.09757,0.0386,0.03796,0.09464,0.03501,0.03361,0.03255,0.03366,2.93796,2.93839,2.93794,1.18,1.09,1.18,252.183,211.384,11300.0,0.0,11300==11300.0
