Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Gowalla,VAECF,005%,020%,N,-,-,0.06083,0.09304,0.05915,0.05858,0.0875,0.05708,0.06076,0.02965,0.06238,3.82773,3.75036,3.83176,41.04,20.61,40.54,62.203,32.206,8026.0,3274.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,0.0000000,-,0.09147,0.01337,0.09554,0.08451,0.01429,0.08818,0.08899,0.00417,0.09342,3.83322,3.71476,3.83939,43.9,20.86,42.81,80.373,32.232,8040.0,3260.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,208.2500000,-,0.08899,0.01951,0.09261,0.08257,0.01964,0.08585,0.08715,0.00781,0.09128,3.83102,3.71408,3.83712,43.65,20.77,42.64,79.34,32.473,8039.0,3261.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,416.5000000,-,0.08525,0.02474,0.08841,0.07956,0.025,0.0824,0.084,0.00934,0.08789,3.83034,3.72657,3.83575,43.31,20.69,42.39,73.629,32.302,8039.0,3261.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,624.7500000,-,0.08216,0.03177,0.08478,0.07701,0.03214,0.07935,0.08121,0.01232,0.0848,3.83073,3.75788,3.83453,43.23,20.86,42.39,68.271,32.004,8049.0,3251.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,833.0000000,-,0.08064,0.03964,0.08277,0.07558,0.03929,0.07747,0.07952,0.01441,0.08292,3.83226,3.76856,3.83559,43.06,20.69,42.14,64.037,31.765,8048.0000000000055,3251.999999999994,11300==11300.0
Gowalla,VAECF,005%,020%,C,1041.2500000,-,0.07759,0.04417,0.07934,0.07328,0.04464,0.07478,0.07739,0.01613,0.08058,3.83089,3.75671,3.83476,42.47,20.61,41.63,64.915,32.158,8048.0,3252.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,1249.5000000,-,0.07583,0.05518,0.07691,0.07187,0.05536,0.07273,0.0759,0.01933,0.07885,3.82946,3.74851,3.83368,42.14,20.35,41.38,65.952,32.326,8046.0,3254.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,1457.7500000,-,0.07316,0.05997,0.07385,0.0695,0.0625,0.06986,0.07305,0.02168,0.07573,3.82789,3.74779,3.83207,41.72,20.27,41.04,67.691,32.397,8044.249999999994,3255.7500000000064,11300==11300.0
Gowalla,VAECF,005%,020%,C,1666.0000000,-,0.07122,0.06674,0.07145,0.06761,0.06786,0.0676,0.07108,0.02294,0.07359,3.82919,3.75815,3.83289,41.21,20.44,40.71,64.63,32.177,8040.0,3260.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,1874.2500000,-,0.0683,0.06988,0.06822,0.06504,0.06964,0.0648,0.06835,0.02351,0.07069,3.82841,3.76129,3.83191,41.13,20.52,40.62,60.686,32.118,8031.0,3269.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,2082.5000000,-,0.06588,0.07144,0.06559,0.06319,0.07143,0.06276,0.06657,0.02377,0.0688,3.8276,3.75408,3.83144,41.04,20.52,40.54,61.366,31.984,8032.0,3268.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,2290.7500000,-,0.06399,0.08664,0.06281,0.06134,0.08214,0.06025,0.06417,0.02804,0.06605,3.82844,3.75086,3.83248,41.21,20.52,40.71,61.414,31.718,8028.0,3272.0,11300==11300.0
Gowalla,VAECF,005%,020%,C,2499.0000000,-,0.06083,0.09304,0.05915,0.05858,0.0875,0.05708,0.06076,0.02965,0.06238,3.82773,3.75036,3.83176,41.04,20.61,40.54,62.203,32.206,8026.0,3274.0,11300==11300.0
