Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Gowalla,WMF,005%,020%,N,-,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,9.017,-6.747,6523.0,4777.0,11300==11300.0
Gowalla,WMF,005%,020%,C,0.0000000,-,0.04278,0.03133,0.04338,0.04301,0.03393,0.04348,0.0474,0.01267,0.04921,4.57321,4.37149,4.58372,43.06,17.16,42.3,20.182,-16.213,6295.0,5005.0,11300==11300.0
Gowalla,WMF,005%,020%,C,150.0833333,-,0.04198,0.04068,0.04204,0.04222,0.0375,0.04247,0.04633,0.01372,0.04803,4.56794,4.39523,4.57695,43.15,16.74,42.47,16.713,-15.882,6321.0,4979.0,11300==11300.0
Gowalla,WMF,005%,020%,C,300.1666667,-,0.04104,0.04193,0.041,0.04159,0.03929,0.04171,0.04537,0.01419,0.04699,4.56214,4.42441,4.56932,43.4,16.4,42.89,11.919,-14.923,6338.0,4962.0,11300==11300.0
Gowalla,WMF,005%,020%,C,450.2500000,-,0.04036,0.04021,0.04037,0.04097,0.03929,0.04106,0.04481,0.01419,0.0464,4.55751,4.44245,4.56351,43.48,16.15,43.06,10.413,-14.335,6354.25,4945.75,11300==11300.0
Gowalla,WMF,005%,020%,C,600.3333333,-,0.03988,0.0421,0.03976,0.04027,0.04107,0.04022,0.04396,0.01466,0.04549,4.55029,4.4412,4.55598,43.31,15.9,42.98,10.258,-13.466,6380.333333333333,4919.666666666666,11300==11300.0
Gowalla,WMF,005%,020%,C,750.4166667,-,0.03951,0.045,0.03923,0.03965,0.04464,0.03939,0.04312,0.01594,0.04453,4.54349,4.45097,4.54832,43.73,15.73,43.48,9.844,-12.873,6405.416666666667,4894.583333333333,11300==11300.0
Gowalla,WMF,005%,020%,C,900.5000000,-,0.03862,0.0475,0.03815,0.03885,0.04643,0.03845,0.04234,0.01631,0.0437,4.53965,4.4602,4.5438,44.24,15.81,43.99,9.369,-12.353,6415.0,4885.0,11300==11300.0
Gowalla,WMF,005%,020%,C,1050.5833333,-,0.03801,0.04766,0.03751,0.03833,0.04643,0.03791,0.0419,0.01631,0.04323,4.53322,4.46424,4.53682,44.66,15.73,44.49,9.233,-11.312,6443.583333333334,4856.416666666666,11300==11300.0
Gowalla,WMF,005%,020%,C,1200.6666667,-,0.03752,0.04974,0.03688,0.0377,0.04821,0.03715,0.04093,0.01685,0.04219,4.5261,4.46442,4.52931,45.08,15.56,44.91,9.384,-10.698,6477.0,4823.0,11300==11300.0
Gowalla,WMF,005%,020%,C,1350.7500000,-,0.03628,0.05274,0.03542,0.037,0.05179,0.03623,0.03971,0.01767,0.04086,4.51856,4.46543,4.52133,45.58,15.56,45.42,9.347,-9.54,6484.25,4815.75,11300==11300.0
Gowalla,WMF,005%,020%,C,1500.8333333,-,0.03564,0.05249,0.03476,0.03655,0.05179,0.03575,0.03933,0.01767,0.04046,4.51457,4.46479,4.51716,45.58,15.64,45.42,8.575,-8.657,6494.0,4806.0,11300==11300.0
Gowalla,WMF,005%,020%,C,1650.9166667,-,0.03407,0.05249,0.03311,0.03487,0.05179,0.03399,0.03704,0.01767,0.03805,4.50808,4.47307,4.5099,45.92,15.64,45.75,8.675,-7.779,6514.916666666666,4785.083333333334,11300==11300.0
Gowalla,WMF,005%,020%,C,1801.0000000,-,0.03383,0.05503,0.03273,0.03469,0.05536,0.03361,0.0368,0.01989,0.03768,4.50125,4.47461,4.50264,46.17,15.73,46.01,9.017,-6.747,6523.0,4777.0,11300==11300.0
