Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,MostPop,005%,020%,N,-,-,0.02973,0.03203,0.02961,0.02895,0.03,0.02889,0.03667,0.0339,0.03682,3.38421,3.38421,3.38421,0.66,0.66,0.66,53.463,111.297,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,0.0000000,-,0.03261,0.00549,0.03404,0.03084,0.00778,0.03206,0.03918,0.01123,0.04065,3.37234,3.23761,3.37946,3.19,3.19,1.06,113.34,107.213,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,124.4166667,-,0.03314,0.01547,0.03408,0.03123,0.01556,0.03206,0.03961,0.0198,0.04065,3.37509,3.28836,3.37967,2.72,2.72,1.06,92.096,106.961,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,248.8333333,-,0.03319,0.0164,0.03408,0.03123,0.01667,0.032,0.03961,0.02073,0.04061,3.37621,3.30697,3.37987,2.65,2.65,1.06,78.743,106.978,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,373.2500000,-,0.03332,0.02265,0.03388,0.0314,0.02333,0.03183,0.03972,0.02697,0.04039,3.37732,3.31147,3.3808,2.06,2.06,1.06,67.184,106.584,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,497.6666667,-,0.03332,0.02557,0.03373,0.03135,0.02556,0.03166,0.03961,0.02919,0.04016,3.37625,3.31714,3.37937,1.79,1.79,0.93,67.006,106.458,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,622.0833333,-,0.03312,0.02617,0.03349,0.03112,0.02556,0.03142,0.03927,0.02919,0.03981,3.37628,3.33122,3.37866,1.73,1.73,0.86,55.978,106.428,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,746.5000000,-,0.03234,0.02617,0.03266,0.03051,0.02556,0.03077,0.03846,0.02919,0.03895,3.37623,3.33042,3.37865,1.59,1.59,0.86,56.457,106.984,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,870.9166667,-,0.03198,0.02688,0.03225,0.03028,0.02778,0.03042,0.03819,0.03197,0.03852,3.37703,3.33316,3.37934,1.53,1.53,0.86,56.761,107.333,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,995.3333333,-,0.03161,0.02688,0.03186,0.03017,0.02778,0.0303,0.03808,0.03197,0.0384,3.37674,3.33572,3.37891,1.33,1.33,0.86,55.564,108.146,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,1119.7500000,-,0.02987,0.02698,0.03002,0.02934,0.02778,0.02942,0.0371,0.03197,0.03737,3.37617,3.33774,3.3782,1.33,1.33,0.86,54.804,109.302,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,1244.1666667,-,0.03,0.03087,0.02995,0.02934,0.02889,0.02937,0.0371,0.03289,0.03732,3.37888,3.3786,3.3789,0.86,0.86,0.8,50.013,109.27,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,1368.5833333,-,0.02987,0.03092,0.02981,0.02918,0.02889,0.02919,0.03692,0.03289,0.03713,3.38118,3.3792,3.38128,0.73,0.73,0.73,51.056,109.485,17970.0,0.0,17970==17970.0
LastFM,MostPop,005%,020%,C,1493.0000000,-,0.02973,0.03203,0.02961,0.02895,0.03,0.02889,0.03667,0.0339,0.03682,3.38421,3.38421,3.38421,0.66,0.66,0.66,53.463,111.297,17970.0,0.0,17970==17970.0
