Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,PF,005%,020%,N,-,-,0.03718,0.02588,0.03777,0.03497,0.03,0.03523,0.04695,0.03576,0.04754,5.09054,5.34983,5.07684,66.82,31.45,64.76,-50.942,-23.749,12480.0,5490.0,17970==17970.0
LastFM,PF,005%,020%,C,0.0000000,-,0.04593,0.01479,0.04758,0.04228,0.01778,0.04357,0.05704,0.02134,0.05892,5.15568,4.95061,5.16652,66.29,29.79,64.96,-16.967,-34.006,12318.0,5652.0,17970==17970.0
LastFM,PF,005%,020%,C,254.0833333,-,0.04503,0.01584,0.04657,0.04156,0.01778,0.04281,0.05605,0.02134,0.05789,5.14916,4.98048,5.15808,66.42,29.79,64.9,-21.842,-33.43,12339.0,5631.0,17970==17970.0
LastFM,PF,005%,020%,C,508.1666667,-,0.04441,0.01732,0.04584,0.04133,0.02,0.04245,0.05557,0.02381,0.05725,5.14485,5.02676,5.15109,66.49,30.06,64.83,-26.629,-32.707,12343.833333333328,5626.1666666666715,17970==17970.0
LastFM,PF,005%,020%,C,762.2500000,-,0.04349,0.01865,0.0448,0.0406,0.02111,0.04163,0.05461,0.02474,0.05619,5.13853,5.04658,5.14339,66.56,30.33,64.9,-27.479,-31.97,12353.0,5617.0,17970==17970.0
LastFM,PF,005%,020%,C,1016.3333333,-,0.0422,0.0193,0.04341,0.03965,0.02222,0.04058,0.0533,0.02597,0.05475,5.13424,5.05854,5.13824,66.49,30.26,64.96,-29.097,-31.478,12375.0,5595.0,17970==17970.0
LastFM,PF,005%,020%,C,1270.4166667,-,0.0415,0.01944,0.04267,0.03898,0.02222,0.03987,0.05244,0.02597,0.05384,5.12522,5.08395,5.1274,66.49,30.66,64.9,-30.457,-30.193,12405.416666666679,5564.58333333332,17970==17970.0
LastFM,PF,005%,020%,C,1524.5000000,-,0.04125,0.02016,0.04236,0.03882,0.02333,0.03964,0.05223,0.02708,0.05356,5.11949,5.10496,5.12026,66.42,30.92,64.9,-31.496,-29.265,12422.0,5548.0,17970==17970.0
LastFM,PF,005%,020%,C,1778.5833333,-,0.0407,0.02103,0.04174,0.03827,0.02444,0.039,0.05148,0.02867,0.05268,5.1128,5.12813,5.11199,66.42,31.39,64.9,-33.788,-28.313,12438.583333333354,5531.416666666645,17970==17970.0
LastFM,PF,005%,020%,C,2032.6666667,-,0.03955,0.02186,0.04048,0.03737,0.02556,0.03799,0.04996,0.02968,0.05104,5.1061,5.15102,5.10372,66.29,31.25,64.83,-35.325,-27.446,12461.0,5509.0,17970==17970.0
LastFM,PF,005%,020%,C,2286.7500000,-,0.03887,0.02146,0.03979,0.0367,0.02556,0.03729,0.04915,0.02968,0.05018,5.1007,5.17244,5.09691,66.29,31.25,64.83,-37.677,-26.682,12474.0,5496.0,17970==17970.0
LastFM,PF,005%,020%,C,2540.8333333,-,0.03807,0.02219,0.0389,0.03581,0.02556,0.03635,0.04787,0.02968,0.04883,5.09277,5.1959,5.08732,66.36,31.25,64.83,-38.96,-25.263,12488.0,5482.0,17970==17970.0
LastFM,PF,005%,020%,C,2794.9166667,-,0.03764,0.02378,0.03837,0.03536,0.02778,0.03576,0.04726,0.0323,0.04805,5.08835,5.26275,5.07914,66.76,31.32,64.96,-44.297,-24.147,12494.083333333278,5475.916666666723,17970==17970.0
LastFM,PF,005%,020%,C,3049.0000000,-,0.03718,0.02588,0.03777,0.03497,0.03,0.03523,0.04695,0.03576,0.04754,5.09054,5.34983,5.07684,66.82,31.45,64.76,-50.942,-23.749,12480.0,5490.0,17970==17970.0
