Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
MovieLens,BPR,005%,020%,N,-,-,0.08375,0.14968,0.08028,0.07936,0.15957,0.07514,0.04591,0.02209,0.04716,1.8961,1.89491,1.89617,0.96,0.89,0.89,168.476,90.704,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,0.0000000,-,0.11409,0.03322,0.11834,0.10394,0.04043,0.10728,0.05824,0.00596,0.06099,1.93605,1.9218,1.9368,1.93,1.63,1.85,163.457,85.192,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,165.4166667,-,0.11178,0.04056,0.11553,0.10213,0.04894,0.10493,0.05744,0.00714,0.06008,1.93872,1.92509,1.93943,1.78,1.56,1.7,162.783,84.789,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,330.8333333,-,0.10931,0.052,0.11233,0.10012,0.05981,0.10224,0.05666,0.00849,0.05919,1.93933,1.92181,1.94026,1.78,1.56,1.7,162.687,84.724,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,496.2500000,-,0.10525,0.05911,0.10768,0.09664,0.06383,0.09837,0.05546,0.00913,0.0579,1.93903,1.9213,1.93996,1.7,1.48,1.63,163.694,84.77,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,661.6666667,-,0.10203,0.07529,0.10344,0.09437,0.0766,0.09531,0.05444,0.01085,0.05673,1.93554,1.91816,1.93646,1.63,1.41,1.56,164.381,85.305,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,827.0833333,-,0.09858,0.08201,0.09945,0.09181,0.08298,0.09227,0.0531,0.01158,0.05529,1.93454,1.91985,1.93531,1.63,1.41,1.56,164.038,85.481,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,992.5000000,-,0.09572,0.09359,0.09583,0.09012,0.09149,0.09005,0.05218,0.01273,0.05426,1.92754,1.91705,1.92809,1.63,1.33,1.56,164.523,86.465,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,1157.9166667,-,0.09382,0.09296,0.09387,0.08917,0.09149,0.08905,0.05181,0.01273,0.05387,1.91789,1.91523,1.91803,1.56,1.33,1.48,164.869,87.872,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,1323.3333333,-,0.09088,0.10911,0.08992,0.08691,0.10426,0.086,0.05025,0.01437,0.05213,1.91292,1.91112,1.91302,1.41,1.26,1.33,165.704,88.57,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,1488.7500000,-,0.08678,0.11534,0.08528,0.0834,0.11277,0.08186,0.04894,0.01554,0.0507,1.91008,1.90667,1.91026,1.26,1.19,1.11,166.542,88.921,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,1654.1666667,-,0.08553,0.12471,0.08347,0.08171,0.1234,0.07952,0.04768,0.01696,0.04929,1.90247,1.90468,1.90235,1.26,1.19,1.11,166.89,89.944,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,1819.5833333,-,0.08459,0.13833,0.08176,0.08065,0.14255,0.07739,0.04684,0.02001,0.04825,1.89838,1.89897,1.89835,1.19,1.04,1.04,167.847,90.44,9430.0,0.0,9430==9430.0
MovieLens,BPR,005%,020%,C,1985.0000000,-,0.08375,0.14968,0.08028,0.07936,0.15957,0.07514,0.04591,0.02209,0.04716,1.8961,1.89491,1.89617,0.96,0.89,0.89,168.476,90.704,9430.0,0.0,9430==9430.0
