Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
MovieLens,VAECF,005%,020%,N,-,-,0.10777,0.14918,0.1056,0.10479,0.16596,0.10157,0.07595,0.02314,0.07873,2.35698,2.54958,2.34684,22.98,13.64,21.72,84.565,47.436,9092.0,338.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,0.0000000,-,0.19661,0.0,0.20696,0.17968,0.0,0.18914,0.11426,0.0,0.12027,2.38449,2.53841,2.37639,23.87,14.53,22.61,86.774,44.463,9011.0,419.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,260.1666667,-,0.18857,0.0,0.1985,0.17331,0.0,0.18243,0.10993,0.0,0.11571,2.3821,2.53841,2.37388,23.94,14.53,22.68,86.774,44.676,9019.0,411.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,520.3333333,-,0.18102,0.00143,0.19047,0.16735,0.00213,0.17605,0.10628,0.00016,0.11186,2.37559,2.53634,2.36713,23.8,14.46,22.54,87.067,45.4,9028.0,402.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,780.5000000,-,0.1719,0.00608,0.18063,0.15985,0.00638,0.16792,0.10248,0.00094,0.10782,2.37035,2.5364,2.36161,23.65,14.46,22.31,86.883,45.972,9034.500000000005,395.499999999995,9430==9430.0
MovieLens,VAECF,005%,020%,C,1040.6666667,-,0.16266,0.00637,0.17088,0.15171,0.00662,0.15935,0.09913,0.00094,0.1043,2.36773,2.52666,2.35936,23.57,14.46,22.31,87.363,46.22,9045.0,385.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,1300.8333333,-,0.15264,0.01212,0.16004,0.14426,0.01277,0.15118,0.09601,0.00185,0.10097,2.36657,2.5313,2.3579,23.42,14.38,22.16,87.162,46.35,9048.0,382.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,1561.0000000,-,0.14636,0.02908,0.15254,0.13798,0.02979,0.14367,0.09364,0.00413,0.09835,2.36441,2.52386,2.35602,23.35,14.08,22.16,87.716,46.6,9055.0,375.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,1821.1666667,-,0.14056,0.04792,0.14543,0.13258,0.05319,0.13676,0.0916,0.00743,0.09603,2.36272,2.53162,2.35383,23.28,13.94,22.16,86.663,46.757,9061.0,369.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,2081.3333333,-,0.13332,0.0668,0.13682,0.12652,0.07447,0.12926,0.08865,0.01034,0.09277,2.36177,2.53346,2.35273,23.28,13.86,22.02,86.546,46.846,9062.000000000366,368.0,9430==9430.000000000366
MovieLens,VAECF,005%,020%,C,2341.5000000,-,0.1257,0.08031,0.12809,0.11972,0.09149,0.1212,0.08531,0.013,0.08912,2.36017,2.53297,2.35107,23.05,13.79,21.87,86.559,46.948,9074.0,356.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,2601.6666667,-,0.11843,0.10105,0.11934,0.11404,0.11489,0.114,0.0826,0.01601,0.08611,2.36205,2.54019,2.35268,23.2,14.01,21.94,84.67,46.849,9072.0,358.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,2861.8333333,-,0.11344,0.1323,0.11244,0.10981,0.14894,0.10775,0.07951,0.02069,0.08261,2.35919,2.54409,2.34946,23.13,13.79,21.79,84.545,47.218,9079.0,351.0,9430==9430.0
MovieLens,VAECF,005%,020%,C,3122.0000000,-,0.10777,0.14918,0.1056,0.10479,0.16596,0.10157,0.07595,0.02314,0.07873,2.35698,2.54958,2.34684,22.98,13.64,21.72,84.565,47.436,9092.0,338.0,9430==9430.0
