Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonOffice,BPR,2%,020%,N,-,-,0.01323,0.03037,0.00854,0.01294,0.0304,0.00816,0.02978,0.04826,0.02472,4.73071,4.73072,4.7307,0.69,0.69,0.69,111.49,210.693,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,0.0000000,-,0.01316,0.03058,0.00839,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.73012,4.7294,4.73032,0.75,0.75,0.75,111.716,210.788,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,4.2500000,-,0.01319,0.03074,0.00839,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.72998,4.7286,4.73035,0.75,0.75,0.75,111.685,210.78,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,8.5000000,-,0.01319,0.03074,0.00839,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.73002,4.72956,4.73015,0.75,0.75,0.75,111.688,210.764,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,12.7500000,-,0.01319,0.03074,0.00839,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.73007,4.72967,4.73018,0.75,0.75,0.75,111.669,210.756,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,17.0000000,-,0.01321,0.03074,0.0084,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.73033,4.72984,4.73046,0.75,0.75,0.75,111.641,210.753,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,21.2500000,-,0.01321,0.03074,0.0084,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.73018,4.73,4.73022,0.75,0.75,0.75,111.612,210.745,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,25.5000000,-,0.01321,0.03074,0.0084,0.01285,0.03061,0.00798,0.02926,0.04879,0.02391,4.73022,4.73017,4.73024,0.75,0.75,0.75,111.584,210.741,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,29.7500000,-,0.01322,0.03074,0.00842,0.01285,0.03061,0.00799,0.02926,0.04879,0.02391,4.73027,4.73028,4.73027,0.75,0.75,0.75,111.565,210.733,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,34.0000000,-,0.01321,0.0305,0.00847,0.01285,0.0304,0.00804,0.02924,0.04826,0.02403,4.73053,4.7305,4.73054,0.75,0.75,0.75,111.527,210.734,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,38.2500000,-,0.01321,0.0305,0.00847,0.01285,0.0304,0.00804,0.02924,0.04826,0.02403,4.73038,4.7305,4.73035,0.75,0.75,0.75,111.527,210.714,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,42.5000000,-,0.01323,0.03039,0.00853,0.0129,0.03042,0.0081,0.02933,0.04826,0.02414,4.73041,4.72964,4.73063,0.75,0.75,0.75,111.505,210.712,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,46.7500000,-,0.01324,0.03037,0.00855,0.01294,0.0304,0.00816,0.02978,0.04826,0.02472,4.73046,4.73061,4.73042,0.75,0.75,0.75,111.509,210.695,24480.0,0.0,24480==24480.0
AmazonOffice,BPR,2%,020%,C,51.0000000,-,0.01323,0.03037,0.00854,0.01294,0.0304,0.00816,0.02978,0.04826,0.02472,4.73071,4.73072,4.7307,0.69,0.69,0.69,111.49,210.693,24480.0,0.0,24480==24480.0
