Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonOffice,MostPop,2%,020%,N,-,-,0.01108,0.02778,0.0065,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73641,4.73641,4.73641,0.63,0.63,0.63,111.042,210.032,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,0.0000000,-,0.01109,0.02778,0.00651,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73568,4.73641,4.73548,0.69,0.63,0.69,111.042,210.325,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,1.6666667,-,0.01112,0.02778,0.00656,0.01074,0.02683,0.00633,0.02491,0.04331,0.01987,4.73555,4.73641,4.73531,0.69,0.63,0.69,111.042,210.292,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,3.3333333,-,0.01112,0.02778,0.00655,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73566,4.73641,4.73546,0.69,0.63,0.69,111.042,210.246,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,5.0000000,-,0.01109,0.02778,0.00652,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73591,4.73641,4.73577,0.69,0.63,0.69,111.042,210.232,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,6.6666667,-,0.01109,0.02778,0.00652,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73578,4.73641,4.73561,0.69,0.63,0.69,111.042,210.2,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,8.3333333,-,0.01113,0.02778,0.00657,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73582,4.73641,4.73566,0.69,0.63,0.69,111.042,210.185,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,10.0000000,-,0.01111,0.02778,0.00654,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73606,4.73641,4.73597,0.69,0.63,0.69,111.042,210.171,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,11.6666667,-,0.01108,0.02778,0.0065,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73589,4.73641,4.73575,0.69,0.63,0.69,111.042,210.154,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,13.3333333,-,0.0111,0.02778,0.00653,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73597,4.73641,4.73585,0.69,0.63,0.69,111.042,210.123,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,15.0000000,-,0.01111,0.02778,0.00654,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73626,4.73641,4.73621,0.69,0.63,0.69,111.042,210.094,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,16.6666667,-,0.01107,0.02778,0.00649,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73609,4.73641,4.736,0.69,0.63,0.69,111.042,210.077,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,18.3333333,-,0.01108,0.02778,0.0065,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73616,4.73641,4.7361,0.69,0.63,0.69,111.042,210.046,24480.0,0.0,24480==24480.0
AmazonOffice,MostPop,2%,020%,C,20.0000000,-,0.01108,0.02778,0.0065,0.01073,0.02683,0.00632,0.02491,0.04331,0.01987,4.73641,4.73641,4.73641,0.63,0.63,0.63,111.042,210.032,24480.0,0.0,24480==24480.0
