Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonOffice,VAECF,2%,020%,N,-,-,0.01744,0.03746,0.01196,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.58545,5.17694,5.69737,22.13,15.11,21.5,68.235,101.528,18991.0,5489.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,0.0000000,-,0.0174,0.03716,0.01198,0.0161,0.03459,0.01103,0.04346,0.05991,0.03895,5.58494,5.17507,5.69724,21.94,15.05,21.32,68.425,101.514,18995.0,5485.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,6.5000000,-,0.0174,0.03716,0.01198,0.0161,0.03459,0.01103,0.04346,0.05991,0.03895,5.5847,5.17507,5.69693,21.94,15.05,21.32,68.425,101.512,18994.0,5486.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,13.0000000,-,0.0174,0.03716,0.01198,0.0161,0.03459,0.01103,0.04346,0.05991,0.03895,5.58491,5.17507,5.6972,21.94,15.05,21.32,68.425,101.505,18992.0,5488.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,19.5000000,-,0.0174,0.03716,0.01198,0.0161,0.03459,0.01103,0.04346,0.05991,0.03895,5.58477,5.17416,5.69727,21.94,15.05,21.32,68.394,101.502,18992.0,5488.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,26.0000000,-,0.01739,0.03716,0.01198,0.0161,0.03459,0.01103,0.04346,0.05991,0.03895,5.58506,5.17582,5.69719,21.94,15.11,21.32,68.353,101.505,18993.0,5487.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,32.5000000,-,0.01746,0.03746,0.01198,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.5848,5.17582,5.69685,21.94,15.11,21.32,68.376,101.512,18992.5,5487.500000000001,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,39.0000000,-,0.01746,0.03746,0.01198,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.58516,5.17582,5.6973,21.94,15.11,21.32,68.376,101.512,18991.0,5489.000000000001,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,45.5000000,-,0.01746,0.03746,0.01198,0.01615,0.0348,0.01103,0.0435,0.06012,0.03895,5.58487,5.17587,5.69693,22.01,15.11,21.38,68.374,101.51,18990.0,5490.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,52.0000000,-,0.01746,0.03746,0.01198,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.5853,5.17628,5.69737,22.07,15.11,21.44,68.322,101.532,18990.0,5490.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,58.5000000,-,0.01745,0.03746,0.01197,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.5855,5.17628,5.69762,22.07,15.11,21.44,68.322,101.493,18990.0,5490.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,65.0000000,-,0.01745,0.03746,0.01197,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.58547,5.1766,5.69749,22.07,15.11,21.44,68.267,101.497,18991.0,5488.999999999998,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,71.5000000,-,0.01745,0.03746,0.01197,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.58499,5.1766,5.69688,22.07,15.11,21.44,68.267,101.519,18992.0,5488.0,24480==24480.0
AmazonOffice,VAECF,2%,020%,C,78.0000000,-,0.01744,0.03746,0.01196,0.01614,0.0348,0.01103,0.0435,0.06012,0.03895,5.58548,5.17694,5.69741,22.13,15.11,21.5,68.235,101.526,18991.0,5489.0,24480==24480.0
