Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonOffice,WMF,2%,020%,N,-,-,0.00775,0.0191,0.00464,0.00816,0.01971,0.005,0.02284,0.03659,0.01907,6.43156,5.89042,6.57982,89.34,23.95,89.22,0.893,11.315,16580.0,7900.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,0.0000000,-,0.00736,0.01723,0.00466,0.0078,0.01782,0.00505,0.02237,0.03369,0.01926,6.42154,5.88738,6.56789,88.97,23.89,88.84,1.227,11.373,16700.0,7780.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,109.8333333,-,0.00744,0.01756,0.00466,0.00789,0.01824,0.00505,0.02251,0.03437,0.01926,6.42203,5.88822,6.56829,88.9,24.01,88.78,1.154,11.404,16691.833333333343,7788.166666666658,24480==24480.0
AmazonOffice,WMF,2%,020%,C,219.6666667,-,0.00744,0.01756,0.00466,0.00789,0.01824,0.00505,0.02251,0.03437,0.01926,6.42302,5.8888,6.56939,88.84,24.08,88.71,1.07,11.454,16679.0,7801.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,329.5000000,-,0.00748,0.01761,0.0047,0.00789,0.01824,0.00505,0.02251,0.03437,0.01926,6.424,5.88867,6.57067,88.97,24.14,88.84,1.053,11.447,16666.0,7814.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,439.3333333,-,0.00752,0.01782,0.0047,0.00794,0.01845,0.00505,0.02262,0.03489,0.01926,6.42484,5.88889,6.57168,89.03,24.14,88.9,1.023,11.469,16655.0,7825.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,549.1666667,-,0.00763,0.01802,0.00478,0.00798,0.01866,0.00505,0.02268,0.03515,0.01926,6.42581,5.89004,6.5726,89.09,24.08,88.97,0.931,11.425,16642.0,7838.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,659.0000000,-,0.00766,0.01824,0.00476,0.00803,0.01887,0.00505,0.02283,0.03585,0.01926,6.42771,5.89092,6.57477,89.15,24.08,89.03,0.846,11.375,16631.0,7849.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,768.8333333,-,0.00774,0.01862,0.00476,0.00812,0.01929,0.00505,0.02291,0.03623,0.01926,6.42833,5.88931,6.57601,89.15,24.08,89.03,0.888,11.365,16616.0,7864.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,878.6666667,-,0.00773,0.01862,0.00475,0.00812,0.01929,0.00505,0.02291,0.03623,0.01926,6.42846,5.8907,6.5758,89.15,24.08,89.03,0.914,11.406,16613.666666666693,7866.3333333333085,24480==24480.0
AmazonOffice,WMF,2%,020%,C,988.5000000,-,0.00772,0.01877,0.00469,0.00812,0.0195,0.005,0.0228,0.03638,0.01907,6.42865,5.88886,6.57654,89.15,24.08,89.03,0.937,11.419,16607.0,7873.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,1098.3333333,-,0.00777,0.01905,0.00468,0.00816,0.01971,0.005,0.02284,0.03659,0.01907,6.429,5.88951,6.57681,89.22,24.01,89.09,0.986,11.406,16597.0,7883.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,1208.1666667,-,0.00781,0.0191,0.00472,0.00816,0.01971,0.005,0.02284,0.03659,0.01907,6.43036,5.88931,6.57859,89.28,24.01,89.15,0.911,11.344,16588.0,7892.0,24480==24480.0
AmazonOffice,WMF,2%,020%,C,1318.0000000,-,0.00775,0.0191,0.00464,0.00816,0.01971,0.005,0.02284,0.03659,0.01907,6.43156,5.89042,6.57982,89.34,23.95,89.22,0.893,11.315,16580.0,7900.0,24480==24480.0
