Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonToy,VAECF,2%,020%,N,-,-,0.01231,0.0243,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48604,6.19659,6.5653,36.3,25.62,33.93,46.215,56.417,15828.0,5872.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,0.0000000,-,0.01236,0.02457,0.00902,0.01146,0.0218,0.00863,0.03523,0.03415,0.03552,6.48531,6.19603,6.56452,36.3,25.56,33.93,46.29,56.471,15835.000000000002,5864.999999999998,21700==21700.0
AmazonToy,VAECF,2%,020%,C,7.7500000,-,0.01234,0.02444,0.00902,0.01146,0.0218,0.00863,0.03523,0.03415,0.03552,6.48509,6.19596,6.56427,36.3,25.56,33.93,46.298,56.454,15834.0,5866.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,15.5000000,-,0.0123,0.02444,0.00898,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48545,6.19591,6.56474,36.3,25.56,33.93,46.302,56.445,15835.499999999998,5864.500000000002,21700==21700.0
AmazonToy,VAECF,2%,020%,C,23.2500000,-,0.0123,0.02444,0.00898,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48511,6.19591,6.5643,36.3,25.56,33.93,46.302,56.444,15837.0,5863.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,31.0000000,-,0.0123,0.02444,0.00898,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48539,6.19591,6.56466,36.3,25.56,33.93,46.302,56.45,15837.000000000002,5862.999999999998,21700==21700.0
AmazonToy,VAECF,2%,020%,C,38.7500000,-,0.0123,0.02444,0.00898,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.4851,6.19591,6.56429,36.3,25.56,33.93,46.302,56.445,15835.75,5864.250000000001,21700==21700.0
AmazonToy,VAECF,2%,020%,C,46.5000000,-,0.01233,0.02444,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48503,6.19589,6.56421,36.3,25.56,33.93,46.304,56.454,15837.0,5863.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,54.2500000,-,0.01233,0.02444,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48518,6.19584,6.56442,36.3,25.56,33.93,46.309,56.446,15837.0,5863.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,62.0000000,-,0.01234,0.02444,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48554,6.19584,6.56487,36.3,25.56,33.93,46.309,56.445,15838.0,5862.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,69.7500000,-,0.01234,0.02444,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48525,6.19579,6.56452,36.3,25.56,33.93,46.313,56.438,15835.249999998192,5864.750000000325,21700==21699.999999998516
AmazonToy,VAECF,2%,020%,C,77.5000000,-,0.01234,0.02444,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48539,6.19625,6.56458,36.3,25.62,33.93,46.265,56.437,15833.0,5867.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,85.2500000,-,0.01231,0.0243,0.00903,0.01142,0.0218,0.00858,0.0351,0.03415,0.03536,6.48551,6.19617,6.56474,36.3,25.62,33.93,46.272,56.417,15830.0,5870.0,21700==21700.0
AmazonToy,VAECF,2%,020%,C,93.0000000,-,0.01231,0.0243,0.00902,0.01141,0.0218,0.00857,0.0351,0.03415,0.03536,6.48611,6.19659,6.5654,36.3,25.62,33.93,46.215,56.409,15827.0,5873.0,21700==21700.0
