Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
AmazonToy,WMF,2%,020%,N,-,-,0.00827,0.01501,0.00642,0.0079,0.01398,0.00623,0.02587,0.02386,0.02642,6.95549,6.44696,7.09475,89.61,30.76,89.38,21.985,13.253,11786.0,9914.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,0.0000000,-,0.00861,0.01333,0.00732,0.0079,0.0128,0.00655,0.0262,0.02218,0.0273,6.94792,6.44831,7.08473,88.92,31.85,88.63,22.06,13.94,11900.0,9800.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,121.9166667,-,0.00875,0.01398,0.00732,0.00795,0.01303,0.00655,0.02624,0.02237,0.0273,6.94866,6.44851,7.08563,89.09,31.85,88.75,22.047,13.846,11881.083333333328,9818.916666666672,21700==21700.0
AmazonToy,WMF,2%,020%,C,243.8333333,-,0.00883,0.01455,0.00726,0.00805,0.01351,0.00655,0.02638,0.023,0.0273,6.94907,6.44821,7.08623,89.21,31.79,88.86,22.043,13.776,11872.0,9828.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,365.7500000,-,0.00879,0.01455,0.00722,0.00805,0.01351,0.00655,0.02638,0.023,0.0273,6.94934,6.44756,7.08676,89.32,31.79,88.98,22.046,13.728,11871.249999999987,9828.750000000013,21700==21700.0
AmazonToy,WMF,2%,020%,C,487.6666667,-,0.00848,0.01455,0.00681,0.00785,0.01351,0.00629,0.02585,0.023,0.02663,6.9502,6.44775,7.08779,89.32,31.62,88.98,22.021,13.641,11866.333333333318,9833.666666666682,21700==21700.0
AmazonToy,WMF,2%,020%,C,609.5833333,-,0.0084,0.01439,0.00675,0.00785,0.01353,0.00629,0.02585,0.023,0.02663,6.95052,6.44708,7.08838,89.32,31.56,89.04,21.947,13.616,11864.0,9836.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,731.5000000,-,0.00829,0.01424,0.00666,0.00779,0.01351,0.00623,0.02568,0.023,0.02642,6.95106,6.44636,7.08928,89.44,31.45,89.15,22.007,13.572,11854.499999999982,9845.500000000018,21700==21700.0
AmazonToy,WMF,2%,020%,C,853.4166667,-,0.00832,0.0143,0.00668,0.00779,0.01351,0.00623,0.02568,0.023,0.02642,6.95072,6.44692,7.08869,89.5,31.28,89.21,22.028,13.578,11853.0,9847.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,975.3333333,-,0.00829,0.0147,0.00653,0.0078,0.01353,0.00623,0.02568,0.023,0.02642,6.95157,6.44544,7.09017,89.44,31.04,89.21,22.024,13.501,11834.0,9866.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,1097.2500000,-,0.00828,0.01486,0.00648,0.00785,0.01374,0.00623,0.02578,0.02347,0.02642,6.95178,6.44707,7.09,89.5,30.93,89.27,22.013,13.506,11829.0,9871.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,1219.1666667,-,0.00827,0.01486,0.00646,0.00785,0.01374,0.00623,0.02578,0.02347,0.02642,6.95385,6.44741,7.09254,89.56,30.93,89.32,22.0,13.37,11807.83333333331,9892.16666666669,21700==21700.0
AmazonToy,WMF,2%,020%,C,1341.0833333,-,0.00824,0.01486,0.00643,0.00785,0.01374,0.00623,0.02578,0.02347,0.02642,6.95432,6.44776,7.09305,89.56,30.93,89.32,21.954,13.324,11798.0,9902.0,21700==21700.0
AmazonToy,WMF,2%,020%,C,1463.0000000,-,0.00827,0.01501,0.00642,0.0079,0.01398,0.00623,0.02587,0.02386,0.02642,6.95549,6.44696,7.09475,89.61,30.76,89.38,21.985,13.253,11786.0,9914.0,21700==21700.0
