Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
BookCrossing,BPR,2%,020%,N,-,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47829,4.47829,4.47829,1.08,1.08,1.08,121.086,154.493,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,0.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47703,4.47659,4.47714,1.18,1.18,1.18,121.401,154.724,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,6.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47727,4.47659,4.47744,1.18,1.18,1.18,121.401,154.668,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,12.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47747,4.47666,4.47768,1.18,1.18,1.18,121.388,154.623,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,18.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47756,4.47701,4.4777,1.18,1.18,1.18,121.323,154.619,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,24.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47765,4.47715,4.47777,1.18,1.18,1.18,121.296,154.603,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,30.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47773,4.47723,4.47787,1.18,1.18,1.18,121.283,154.583,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,36.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47782,4.47751,4.4779,1.18,1.18,1.18,121.231,154.575,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,42.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47791,4.47765,4.47798,1.18,1.18,1.18,121.204,154.56,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,48.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.478,4.47787,4.47803,1.18,1.18,1.18,121.165,154.548,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,54.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47807,4.47794,4.47811,1.18,1.18,1.18,121.152,154.532,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,60.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47813,4.47801,4.47816,1.18,1.18,1.18,121.139,154.52,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,66.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.4782,4.47815,4.47822,1.18,1.18,1.18,121.112,154.508,11360.0,0.0,11360==11360.0
BookCrossing,BPR,2%,020%,C,72.0000000,-,0.01481,0.02027,0.01339,0.01385,0.01964,0.01234,0.03462,0.02909,0.03606,4.47829,4.47829,4.47829,1.08,1.08,1.08,121.086,154.493,11360.0,0.0,11360==11360.0
