Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
BookCrossing,NeuMF,2%,020%,N,-,-,0.01652,0.02755,0.01364,0.01468,0.02411,0.01222,0.03802,0.03643,0.03844,4.51428,4.51915,4.51301,3.43,3.34,3.14,117.467,151.225,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,0.0000000,-,0.01672,0.02764,0.01387,0.01477,0.02366,0.01246,0.03828,0.03569,0.03896,4.51895,4.52818,4.51655,3.73,3.63,3.24,116.131,150.673,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,8.2500000,-,0.01672,0.02764,0.01387,0.01477,0.02366,0.01246,0.03828,0.03569,0.03896,4.51849,4.5281,4.51599,3.63,3.53,3.24,116.149,150.676,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,16.5000000,-,0.01663,0.02764,0.01376,0.01468,0.02366,0.01234,0.03805,0.03569,0.03867,4.51854,4.5281,4.51605,3.63,3.53,3.24,116.149,150.666,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,24.7500000,-,0.01657,0.02764,0.01368,0.01459,0.02366,0.01222,0.03787,0.03569,0.03844,4.51844,4.52588,4.51649,3.63,3.53,3.24,116.177,150.672,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,33.0000000,-,0.01657,0.02764,0.01368,0.01459,0.02366,0.01222,0.03787,0.03569,0.03844,4.51851,4.5271,4.51627,3.63,3.53,3.24,116.298,150.708,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,41.2500000,-,0.01657,0.02764,0.01368,0.01459,0.02366,0.01222,0.03787,0.03569,0.03844,4.51772,4.52411,4.51606,3.63,3.53,3.24,116.448,150.741,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,49.5000000,-,0.01649,0.02727,0.01368,0.01459,0.02366,0.01222,0.03787,0.03569,0.03844,4.5172,4.52502,4.51516,3.63,3.53,3.24,116.613,150.801,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,57.7500000,-,0.01655,0.02755,0.01368,0.01468,0.02411,0.01222,0.03802,0.03643,0.03844,4.51668,4.52423,4.51471,3.63,3.53,3.24,116.724,150.872,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,66.0000000,-,0.01655,0.02755,0.01368,0.01468,0.02411,0.01222,0.03802,0.03643,0.03844,4.5165,4.52294,4.51482,3.63,3.53,3.24,116.915,150.937,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,74.2500000,-,0.01655,0.02755,0.01368,0.01468,0.02411,0.01222,0.03802,0.03643,0.03844,4.51556,4.52188,4.51391,3.63,3.53,3.14,117.069,151.0,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,82.5000000,-,0.01655,0.02755,0.01369,0.01469,0.02411,0.01224,0.03802,0.03643,0.03844,4.51492,4.52061,4.51344,3.53,3.43,3.14,117.256,151.074,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,90.7500000,-,0.01652,0.02755,0.01364,0.01468,0.02411,0.01222,0.03802,0.03643,0.03844,4.51425,4.51998,4.51275,3.43,3.34,3.14,117.35,151.182,11360.0,0.0,11360==11360.0
BookCrossing,NeuMF,2%,020%,C,99.0000000,-,0.01652,0.02755,0.01364,0.01468,0.02411,0.01222,0.03802,0.03643,0.03844,4.51428,4.51915,4.51301,3.43,3.34,3.14,117.467,151.225,11360.0,0.0,11360==11360.0
