Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
BookCrossing,PF,2%,020%,N,-,-,0.01082,0.01642,0.00936,0.01062,0.01786,0.00873,0.02762,0.02954,0.02713,5.87125,5.66657,5.92462,89.4,61.92,87.73,13.725,11.453,5844.0,5516.0,11360==11360.0
BookCrossing,PF,2%,020%,C,0.0000000,-,0.01135,0.01545,0.01028,0.0108,0.01607,0.00943,0.0292,0.02711,0.02974,5.87083,5.64017,5.93098,89.7,61.83,88.32,15.664,10.787,5855.0,5505.0,11360==11360.0
BookCrossing,PF,2%,020%,C,50.0000000,-,0.01124,0.01573,0.01007,0.0108,0.01652,0.00931,0.02907,0.0276,0.02945,5.87125,5.6396,5.93166,89.7,61.63,88.32,15.653,10.751,5846.0,5514.0,11360==11360.0
BookCrossing,PF,2%,020%,C,100.0000000,-,0.01115,0.01571,0.00996,0.0108,0.01652,0.00931,0.02907,0.0276,0.02945,5.87336,5.64871,5.93195,89.79,62.02,88.13,14.9,10.785,5836.0,5524.0,11360==11360.0
BookCrossing,PF,2%,020%,C,150.0000000,-,0.01111,0.0161,0.00981,0.01071,0.01652,0.0092,0.02884,0.0276,0.02916,5.87386,5.6544,5.93108,89.79,62.22,88.03,14.54,10.853,5835.0,5525.0,11360==11360.0
BookCrossing,PF,2%,020%,C,200.0000000,-,0.01109,0.0164,0.00971,0.01071,0.01696,0.00908,0.02862,0.02801,0.02877,5.87382,5.65436,5.93104,89.7,62.12,87.93,14.75,10.907,5833.0,5527.0,11360==11360.0
BookCrossing,PF,2%,020%,C,250.0000000,-,0.01103,0.01645,0.00962,0.0108,0.01741,0.00908,0.02875,0.02865,0.02877,5.87308,5.65611,5.92966,89.7,62.12,87.93,14.681,11.073,5834.0,5526.0,11360==11360.0
BookCrossing,PF,2%,020%,C,300.0000000,-,0.01084,0.01672,0.00931,0.01071,0.01786,0.00885,0.02778,0.02954,0.02732,5.8729,5.65789,5.92897,89.7,62.02,87.83,14.566,11.147,5833.0,5527.0,11360==11360.0
BookCrossing,PF,2%,020%,C,350.0000000,-,0.01085,0.01675,0.00931,0.01071,0.01786,0.00885,0.02778,0.02954,0.02732,5.87386,5.65864,5.92998,89.7,62.02,87.83,14.491,11.069,5825.0,5535.0,11360==11360.0
BookCrossing,PF,2%,020%,C,400.0000000,-,0.01078,0.01642,0.00931,0.01071,0.01786,0.00885,0.02778,0.02954,0.02732,5.87349,5.66065,5.92899,89.7,61.83,87.83,14.358,11.169,5825.0,5535.0,11360==11360.0
BookCrossing,PF,2%,020%,C,450.0000000,-,0.01085,0.01642,0.0094,0.01071,0.01786,0.00885,0.02778,0.02954,0.02732,5.87384,5.66448,5.92843,89.6,61.83,87.83,13.892,11.196,5827.0,5533.0,11360==11360.0
BookCrossing,PF,2%,020%,C,500.0000000,-,0.01091,0.01642,0.00947,0.01071,0.01786,0.00885,0.02778,0.02954,0.02732,5.87377,5.66641,5.92784,89.6,61.83,87.83,13.748,11.289,5826.0,5534.0,11360==11360.0
BookCrossing,PF,2%,020%,C,550.0000000,-,0.0108,0.01642,0.00934,0.01062,0.01786,0.00873,0.02762,0.02954,0.02713,5.87244,5.66661,5.92611,89.6,61.83,87.83,13.731,11.393,5835.0,5525.0,11360==11360.0
BookCrossing,PF,2%,020%,C,600.0000000,-,0.01082,0.01642,0.00936,0.01062,0.01786,0.00873,0.02762,0.02954,0.02713,5.87125,5.66657,5.92462,89.4,61.92,87.73,13.725,11.453,5844.0,5516.0,11360==11360.0
