Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
BookCrossing,VAECF,2%,020%,N,-,-,0.0186,0.03269,0.01493,0.01727,0.02902,0.0142,0.04425,0.04321,0.04453,5.13396,5.07957,5.14815,41.02,31.4,39.74,61.276,78.681,9512.0,1848.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,0.0000000,-,0.01882,0.02883,0.01621,0.01773,0.02679,0.01537,0.04656,0.0387,0.04862,5.13344,5.08455,5.1462,40.82,31.31,39.45,60.488,78.798,9521.0,1839.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,24.6666667,-,0.01882,0.02873,0.01623,0.01773,0.02679,0.01537,0.04656,0.0387,0.04862,5.133,5.08094,5.14657,40.92,31.31,39.55,60.979,78.73,9515.0,1845.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,49.3333333,-,0.0185,0.02873,0.01584,0.01745,0.02679,0.01502,0.04538,0.0387,0.04713,5.13299,5.07612,5.14783,40.92,31.21,39.55,61.389,78.65,9513.0,1847.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,74.0000000,-,0.01859,0.02926,0.01581,0.01754,0.02723,0.01502,0.04562,0.03982,0.04713,5.13298,5.07594,5.14786,40.92,31.11,39.55,61.634,78.648,9513.0,1847.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,98.6666667,-,0.01883,0.03046,0.0158,0.01773,0.02812,0.01502,0.04595,0.04143,0.04713,5.13203,5.0725,5.14756,40.92,31.11,39.55,61.753,78.691,9513.0,1847.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,123.3333333,-,0.01867,0.03097,0.01546,0.01755,0.02817,0.01478,0.04559,0.04143,0.04667,5.1311,5.07221,5.14645,40.92,31.11,39.55,61.838,78.868,9515.0,1845.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,148.0000000,-,0.01857,0.03088,0.01536,0.01745,0.02812,0.01467,0.04512,0.04143,0.04609,5.13248,5.07736,5.14686,41.02,31.21,39.65,61.429,78.85,9514.0,1846.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,172.6666667,-,0.0186,0.03094,0.01538,0.01746,0.02812,0.01468,0.04512,0.04143,0.04609,5.13265,5.07783,5.14694,41.02,31.31,39.65,61.399,78.758,9513.0,1847.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,197.3333333,-,0.0186,0.031,0.01537,0.01746,0.02812,0.01468,0.04512,0.04143,0.04609,5.1328,5.07789,5.14712,41.02,31.4,39.65,61.411,78.745,9510.0,1850.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,222.0000000,-,0.01867,0.03136,0.01536,0.01745,0.02812,0.01467,0.04512,0.04143,0.04609,5.13348,5.07967,5.14752,40.92,31.5,39.55,61.212,78.785,9510.0,1850.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,246.6666667,-,0.01853,0.03144,0.01517,0.01728,0.02817,0.01444,0.04453,0.04143,0.04534,5.13366,5.07755,5.14829,41.02,31.4,39.74,61.238,78.683,9509.0,1851.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,271.3333333,-,0.01869,0.03263,0.01505,0.01736,0.02902,0.01432,0.04444,0.04321,0.04476,5.13306,5.0799,5.14693,41.02,31.4,39.74,61.099,78.767,9513.0,1847.0,11360==11360.0
BookCrossing,VAECF,2%,020%,C,296.0000000,-,0.0186,0.03269,0.01493,0.01727,0.02902,0.0142,0.04425,0.04321,0.04453,5.13396,5.07957,5.14815,41.02,31.4,39.74,61.276,78.681,9512.0,1848.0,11360==11360.0
