Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Epinion,MostPop,2%,020%,N,-,-,0.03019,0.04651,0.0261,0.02567,0.04262,0.02143,0.03725,0.0353,0.03773,3.71331,3.71331,3.71331,0.49,0.49,0.49,202.723,207.972,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,0.0000000,-,0.02989,0.04445,0.02624,0.02526,0.03981,0.02162,0.0371,0.03341,0.03802,3.69998,3.6501,3.71246,0.83,0.83,0.58,217.749,208.241,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,46.5000000,-,0.02992,0.04464,0.02624,0.0253,0.04,0.02162,0.03711,0.03347,0.03802,3.70096,3.655,3.71246,0.73,0.73,0.58,216.731,208.241,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,93.0000000,-,0.02994,0.0447,0.02624,0.0253,0.04,0.02162,0.03711,0.03347,0.03802,3.70232,3.66181,3.71246,0.68,0.68,0.58,215.629,208.241,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,139.5000000,-,0.03002,0.04512,0.02624,0.02534,0.04021,0.02162,0.03715,0.03364,0.03802,3.70395,3.6682,3.7129,0.68,0.68,0.58,214.131,208.127,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,186.0000000,-,0.03004,0.04522,0.02624,0.02534,0.04019,0.02162,0.03715,0.03364,0.03802,3.70505,3.6737,3.7129,0.68,0.68,0.58,213.201,208.127,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,232.5000000,-,0.03006,0.04531,0.02624,0.02534,0.04019,0.02162,0.03715,0.03364,0.03802,3.70553,3.67656,3.71278,0.58,0.58,0.58,212.651,208.109,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,279.0000000,-,0.03004,0.04531,0.02621,0.02534,0.04019,0.02162,0.03715,0.03364,0.03802,3.7059,3.67656,3.71325,0.58,0.58,0.58,212.651,208.034,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,325.5000000,-,0.03008,0.04554,0.02621,0.02538,0.04039,0.02162,0.03716,0.03372,0.03802,3.70846,3.68867,3.71342,0.58,0.58,0.58,209.218,207.99,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,372.0000000,-,0.03003,0.04527,0.02621,0.02537,0.04037,0.02162,0.03717,0.03378,0.03802,3.71101,3.70141,3.71342,0.58,0.58,0.58,206.0,207.99,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,418.5000000,-,0.03008,0.04554,0.02621,0.02549,0.04093,0.02162,0.03721,0.03397,0.03802,3.71267,3.70937,3.7135,0.58,0.58,0.58,203.683,207.968,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,465.0000000,-,0.03016,0.04592,0.02622,0.02564,0.04168,0.02162,0.0373,0.03443,0.03802,3.71371,3.71387,3.71367,0.53,0.53,0.53,202.648,207.923,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,511.5000000,-,0.03024,0.04651,0.02616,0.02575,0.04262,0.02153,0.03738,0.0353,0.0379,3.71335,3.71331,3.71336,0.53,0.49,0.53,202.723,207.943,26770.0,0.0,26770==26770.0
Epinion,MostPop,2%,020%,C,558.0000000,-,0.03019,0.04651,0.0261,0.02567,0.04262,0.02143,0.03725,0.0353,0.03773,3.71331,3.71331,3.71331,0.49,0.49,0.49,202.723,207.972,26770.0,0.0,26770==26770.0
