Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Epinion,NeuMF,2%,020%,N,-,-,0.04506,0.06626,0.03976,0.04064,0.06168,0.03538,0.05743,0.04816,0.05975,3.8923,4.02489,3.85911,12.14,11.02,11.36,170.13,203.371,26533.0,237.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,0.0000000,-,0.04569,0.0629,0.04139,0.04132,0.05794,0.03715,0.05909,0.04584,0.0624,3.89561,4.0197,3.86455,12.33,10.97,11.41,170.671,202.121,26542.0,228.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,93.0000000,-,0.04553,0.06323,0.0411,0.04117,0.05813,0.03692,0.05879,0.046,0.06199,3.89535,4.02012,3.86412,12.33,10.97,11.46,170.57,202.242,26539.0,231.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,186.0000000,-,0.04566,0.06384,0.0411,0.04124,0.05888,0.03683,0.05881,0.04642,0.06191,3.89495,4.02031,3.86357,12.33,10.87,11.46,170.548,202.373,26540.0,230.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,279.0000000,-,0.04564,0.06432,0.04097,0.04128,0.05944,0.03673,0.05873,0.04672,0.06174,3.89499,4.02189,3.86322,12.33,10.92,11.46,170.364,202.465,26538.0,232.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,372.0000000,-,0.04548,0.06467,0.04068,0.04117,0.06,0.03645,0.05851,0.0471,0.06136,3.89433,4.02278,3.86217,12.38,11.02,11.46,170.241,202.676,26538.0,232.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,465.0000000,-,0.04556,0.06495,0.04071,0.04124,0.06037,0.03645,0.05854,0.04728,0.06136,3.89401,4.02428,3.86139,12.38,11.07,11.46,170.078,202.836,26537.0,233.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,558.0000000,-,0.04551,0.06498,0.04063,0.04117,0.06056,0.03631,0.05841,0.0474,0.06116,3.8943,4.02398,3.86183,12.28,11.02,11.41,170.196,202.77,26538.0,232.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,651.0000000,-,0.04535,0.06532,0.04035,0.04098,0.06075,0.03603,0.05813,0.04745,0.06081,3.89356,4.02364,3.861,12.28,11.02,11.41,170.265,202.941,26538.0,232.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,744.0000000,-,0.0453,0.06543,0.04027,0.04094,0.06093,0.03594,0.05801,0.04761,0.06061,3.89268,4.02472,3.85962,12.23,11.02,11.41,170.109,203.214,26540.0,230.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,837.0000000,-,0.04519,0.06542,0.04012,0.04079,0.06093,0.03575,0.05779,0.04761,0.06034,3.89318,4.02575,3.85999,12.23,11.07,11.41,170.023,203.183,26538.0,232.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,930.0000000,-,0.04514,0.06568,0.04,0.04072,0.06112,0.03561,0.05764,0.04792,0.06007,3.89329,4.0251,3.86029,12.18,11.07,11.41,170.123,203.157,26536.0,234.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,1023.0000000,-,0.04505,0.06604,0.0398,0.04064,0.0615,0.03542,0.05744,0.0481,0.05978,3.89282,4.0248,3.85978,12.14,11.02,11.41,170.167,203.277,26535.0,235.0,26770==26770.0
Epinion,NeuMF,2%,020%,C,1116.0000000,-,0.04506,0.06626,0.03976,0.04064,0.06168,0.03538,0.05743,0.04816,0.05975,3.8923,4.02489,3.85911,12.14,11.02,11.36,170.13,203.371,26533.0,237.0,26770==26770.0
