Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Epinion,PF,2%,020%,N,-,-,0.03208,0.05157,0.0272,0.03125,0.05234,0.02597,0.04449,0.04079,0.04542,4.9602,4.80472,4.99912,50.73,33.06,49.37,70.422,60.071,22169.0,4601.0,26770==26770.0
Epinion,PF,2%,020%,C,0.0000000,-,0.03322,0.04691,0.02979,0.03192,0.04729,0.02808,0.04626,0.03517,0.04903,4.97275,4.77985,5.02104,50.92,32.77,49.76,73.278,57.827,22066.99999999997,4703.000000000031,26770==26770.0
Epinion,PF,2%,020%,C,140.8333333,-,0.03325,0.04799,0.02955,0.032,0.04841,0.02789,0.04613,0.03644,0.04856,4.97145,4.78041,5.01928,50.83,32.77,49.71,73.174,57.943,22081.166666666635,4688.833333333366,26770==26770.0
Epinion,PF,2%,020%,C,281.6666667,-,0.03322,0.04848,0.0294,0.032,0.04899,0.02775,0.04622,0.03748,0.0484,4.97035,4.78283,5.0173,50.87,32.86,49.71,72.922,58.14,22091.6666666667,4678.333333333299,26770==26770.0
Epinion,PF,2%,020%,C,422.5000000,-,0.03323,0.04903,0.02927,0.03204,0.04953,0.02766,0.04617,0.03793,0.04823,4.96954,4.78414,5.01596,50.83,32.86,49.66,72.946,58.275,22092.0,4678.0,26770==26770.0
Epinion,PF,2%,020%,C,563.3333333,-,0.03313,0.04917,0.02911,0.03197,0.04972,0.02752,0.0461,0.03816,0.04808,4.96791,4.783,5.01421,50.87,32.72,49.71,73.054,58.43,22105.333333333372,4664.666666666627,26770==26770.0
Epinion,PF,2%,020%,C,704.1666667,-,0.03281,0.04955,0.02862,0.03174,0.04991,0.02719,0.04573,0.0382,0.04762,4.96777,4.78792,5.0128,50.92,32.91,49.66,72.457,58.603,22105.0,4665.0,26770==26770.0
Epinion,PF,2%,020%,C,845.0000000,-,0.03262,0.05004,0.02826,0.03162,0.05047,0.02691,0.0454,0.0386,0.04711,4.96655,4.7908,5.01054,50.92,32.82,49.61,72.233,58.845,22118.0,4652.0,26770==26770.0
Epinion,PF,2%,020%,C,985.8333333,-,0.03245,0.0504,0.02796,0.03159,0.05103,0.02672,0.04521,0.03935,0.04667,4.96521,4.79191,5.0086,50.92,32.82,49.56,72.05,59.026,22126.833333333383,4643.166666666617,26770==26770.0
Epinion,PF,2%,020%,C,1126.6666667,-,0.03243,0.05055,0.0279,0.03155,0.05121,0.02663,0.04511,0.03959,0.04649,4.96375,4.79619,5.0057,50.87,32.91,49.47,71.541,59.413,22131.0,4639.0,26770==26770.0
Epinion,PF,2%,020%,C,1267.5000000,-,0.03244,0.05122,0.02774,0.03159,0.05196,0.02649,0.04501,0.04043,0.04616,4.96248,4.79877,5.00346,50.83,33.11,49.37,71.193,59.622,22145.0,4625.0,26770==26770.0
Epinion,PF,2%,020%,C,1408.3333333,-,0.03227,0.05135,0.02749,0.0314,0.05215,0.0262,0.04471,0.04064,0.04573,4.9614,4.80089,5.00158,50.63,33.06,49.22,70.982,59.75,22158.333333333394,4611.666666666604,26770==26770.0
Epinion,PF,2%,020%,C,1549.1666667,-,0.03211,0.05134,0.02729,0.03129,0.05215,0.02606,0.04454,0.04064,0.04552,4.96187,4.80331,5.00157,50.68,33.06,49.27,70.715,59.796,22155.0,4615.0,26770==26770.0
Epinion,PF,2%,020%,C,1690.0000000,-,0.03208,0.05157,0.0272,0.03125,0.05234,0.02597,0.04449,0.04079,0.04542,4.9602,4.80472,4.99912,50.73,33.06,49.37,70.422,60.071,22169.0,4601.0,26770==26770.0
