Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Foursquare,PF,2%,020%,N,-,-,0.02234,0.02108,0.02266,0.0208,0.02065,0.02084,0.04144,0.02838,0.04471,5.1479,5.12978,5.15243,56.88,41.14,53.73,41.68,63.216,12570.0,3110.0,15680==15680.0
Foursquare,PF,2%,020%,C,0.0000000,-,0.02273,0.01789,0.02395,0.02125,0.01806,0.02205,0.04267,0.0241,0.04732,5.16137,5.06217,5.18621,56.88,40.25,53.94,50.473,59.671,12573.0,3107.0,15680==15680.0
Foursquare,PF,2%,020%,C,71.3333333,-,0.02283,0.01832,0.02395,0.02133,0.01842,0.02205,0.043,0.02571,0.04732,5.16037,5.06997,5.18301,56.95,40.38,53.94,49.159,59.919,12577.0,3103.0,15680==15680.0
Foursquare,PF,2%,020%,C,142.6666667,-,0.0228,0.01873,0.02383,0.02125,0.01871,0.02189,0.0427,0.02598,0.04689,5.15885,5.07555,5.17971,56.95,40.52,54.0,47.981,60.361,12576.0,3104.0,15680==15680.0
Foursquare,PF,2%,020%,C,214.0000000,-,0.02287,0.01914,0.0238,0.02132,0.01935,0.02181,0.04277,0.02673,0.04679,5.16036,5.08865,5.17832,56.88,40.66,53.94,46.656,60.485,12578.0,3102.0,15680==15680.0
Foursquare,PF,2%,020%,C,285.3333333,-,0.02268,0.01914,0.02356,0.02119,0.01935,0.02165,0.04234,0.02673,0.04625,5.16092,5.09564,5.17727,56.95,40.86,54.0,45.877,60.518,12568.0,3112.0,15680==15680.0
Foursquare,PF,2%,020%,C,356.6666667,-,0.02267,0.01913,0.02356,0.02119,0.01935,0.02165,0.04234,0.02673,0.04625,5.15995,5.09649,5.17584,56.88,41.0,53.87,45.282,60.704,12566.333333333325,3113.6666666666756,15680==15680.0
Foursquare,PF,2%,020%,C,428.0000000,-,0.02264,0.0194,0.02345,0.02106,0.01935,0.02149,0.04212,0.02673,0.04598,5.15878,5.10389,5.17253,57.02,41.2,53.94,45.062,61.133,12560.0,3120.0,15680==15680.0
Foursquare,PF,2%,020%,C,499.3333333,-,0.02245,0.0195,0.02319,0.02094,0.01935,0.02133,0.04193,0.02673,0.04573,5.15576,5.10502,5.16847,57.02,41.0,54.0,45.083,61.689,12562.666666666657,3117.3333333333435,15680==15680.0
Foursquare,PF,2%,020%,C,570.6666667,-,0.02247,0.01978,0.02315,0.02099,0.01968,0.02132,0.04198,0.02698,0.04573,5.15443,5.10751,5.16618,57.08,40.93,54.07,44.406,61.921,12559.333333333321,3120.666666666678,15680==15680.0
Foursquare,PF,2%,020%,C,642.0000000,-,0.02239,0.0203,0.02292,0.02093,0.02032,0.02108,0.04192,0.02784,0.04545,5.15388,5.11611,5.16333,56.95,41.07,53.94,43.834,61.985,12557.0,3123.0,15680==15680.0
Foursquare,PF,2%,020%,C,713.3333333,-,0.02244,0.02056,0.02291,0.02101,0.02065,0.0211,0.04203,0.02838,0.04545,5.15088,5.11661,5.15946,56.95,41.07,53.87,43.353,62.431,12559.666666666653,3120.333333333347,15680==15680.0
Foursquare,PF,2%,020%,C,784.6666667,-,0.02247,0.02106,0.02283,0.02093,0.02065,0.021,0.04182,0.02838,0.04518,5.14961,5.12503,5.15577,56.88,41.07,53.8,42.213,62.801,12564.66666666668,3115.3333333333194,15680==15680.0
Foursquare,PF,2%,020%,C,856.0000000,-,0.02234,0.02108,0.02266,0.0208,0.02065,0.02084,0.04144,0.02838,0.04471,5.1479,5.12978,5.15243,56.88,41.14,53.73,41.68,63.216,12570.0,3110.0,15680==15680.0
