Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Foursquare,WMF,2%,020%,N,-,-,0.01747,0.02602,0.01533,0.01654,0.02516,0.01438,0.03368,0.03342,0.03375,5.69521,5.45405,5.7556,71.18,39.63,69.47,-6.087,-21.46,9726.0,5954.0,15680==15680.0
Foursquare,WMF,2%,020%,C,0.0000000,-,0.0178,0.02197,0.01676,0.0168,0.02258,0.01535,0.03447,0.02917,0.0358,5.71268,5.3959,5.792,69.4,40.73,66.74,2.517,-26.767,9697.0,5983.0,15680==15680.0
Foursquare,WMF,2%,020%,C,90.6666667,-,0.01781,0.0223,0.01668,0.01673,0.02258,0.01527,0.03434,0.02917,0.03564,5.71051,5.40139,5.78791,69.54,40.59,67.01,1.848,-26.259,9701.0,5979.0,15680==15680.0
Foursquare,WMF,2%,020%,C,181.3333333,-,0.01788,0.02326,0.01653,0.01687,0.02323,0.01528,0.03457,0.0303,0.03564,5.71018,5.40815,5.78581,69.82,40.38,67.35,1.231,-26.068,9700.0,5980.0,15680==15680.0
Foursquare,WMF,2%,020%,C,272.0000000,-,0.01765,0.02356,0.01617,0.01673,0.02355,0.01502,0.03422,0.03076,0.03509,5.70867,5.41371,5.78252,70.02,40.31,67.69,0.503,-25.517,9702.0,5978.0,15680==15680.0
Foursquare,WMF,2%,020%,C,362.6666667,-,0.01761,0.02399,0.01601,0.0168,0.02419,0.01494,0.0345,0.03269,0.03496,5.70773,5.42099,5.77953,70.36,40.25,68.04,-0.885,-24.973,9695.666666666668,5984.333333333333,15680==15680.0
Foursquare,WMF,2%,020%,C,453.3333333,-,0.01743,0.02399,0.01578,0.01667,0.02419,0.01478,0.03416,0.03269,0.03453,5.70613,5.42292,5.77705,70.43,40.04,68.17,-1.565,-24.493,9704.0,5976.0,15680==15680.0
Foursquare,WMF,2%,020%,C,544.0000000,-,0.01752,0.02444,0.01578,0.01673,0.02452,0.01478,0.03421,0.03294,0.03453,5.70623,5.42941,5.77555,70.5,40.18,68.38,-2.483,-24.075,9707.0,5973.0,15680==15680.0
Foursquare,WMF,2%,020%,C,634.6666667,-,0.01749,0.02492,0.01562,0.01661,0.02452,0.01463,0.03394,0.03294,0.03419,5.70515,5.43508,5.77277,70.57,39.97,68.45,-3.035,-23.736,9703.0,5977.0,15680==15680.0
Foursquare,WMF,2%,020%,C,725.3333333,-,0.0176,0.02559,0.0156,0.01667,0.02484,0.01462,0.03399,0.03319,0.03419,5.70363,5.43905,5.76988,70.77,39.9,68.72,-3.651,-23.391,9703.666666666668,5976.333333333333,15680==15680.0
Foursquare,WMF,2%,020%,C,816.0000000,-,0.01767,0.02579,0.01564,0.01667,0.02484,0.01462,0.03399,0.03319,0.03419,5.70115,5.43927,5.76673,70.84,39.77,68.93,-4.111,-23.008,9712.0,5968.0,15680==15680.0
Foursquare,WMF,2%,020%,C,906.6666667,-,0.01775,0.02599,0.01568,0.01673,0.02516,0.01462,0.03404,0.03342,0.03419,5.69759,5.44121,5.76178,70.84,39.7,68.99,-4.398,-22.478,9721.0,5959.0,15680==15680.0
Foursquare,WMF,2%,020%,C,997.3333333,-,0.01768,0.02602,0.01559,0.01667,0.02516,0.01454,0.03391,0.03342,0.03403,5.69596,5.44864,5.7579,70.98,39.63,69.2,-5.242,-21.999,9728.333333333332,5951.666666666667,15680==15680.0
Foursquare,WMF,2%,020%,C,1088.0000000,-,0.01747,0.02602,0.01533,0.01654,0.02516,0.01438,0.03368,0.03342,0.03375,5.69521,5.45405,5.7556,71.18,39.63,69.47,-6.087,-21.46,9726.0,5954.0,15680==15680.0
