Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Gowalla,MostPop,2%,020%,N,-,-,0.04548,0.0979,0.03237,0.04124,0.08894,0.02931,0.03671,0.04066,0.03573,2.93871,2.93871,2.93871,0.84,0.84,0.84,150.59,138.544,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,0.0000000,-,0.0451,0.09539,0.03253,0.0408,0.08584,0.02954,0.03674,0.03943,0.03607,2.93369,2.92297,2.93637,1.26,1.26,1.09,154.431,139.24,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,15.5833333,-,0.04531,0.09646,0.03253,0.04106,0.08717,0.02954,0.03684,0.03991,0.03607,2.9333,2.92144,2.93626,1.26,1.26,1.09,154.625,139.257,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,31.1666667,-,0.04543,0.09702,0.03253,0.04124,0.08805,0.02954,0.03693,0.04038,0.03607,2.93357,2.92279,2.93626,1.18,1.18,1.09,154.368,139.257,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,46.7500000,-,0.04549,0.09732,0.03253,0.04134,0.08854,0.02954,0.03696,0.0405,0.03607,2.93377,2.92369,2.93629,1.09,1.09,0.93,154.286,139.254,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,62.3333333,-,0.04549,0.09734,0.03253,0.04134,0.08854,0.02954,0.03696,0.0405,0.03607,2.93397,2.92471,2.93629,1.09,1.09,0.93,154.264,139.254,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,77.9166667,-,0.04541,0.09731,0.03244,0.04124,0.0885,0.02942,0.03686,0.0405,0.03595,2.93418,2.92711,2.93595,0.93,0.93,0.93,154.166,139.257,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,93.5000000,-,0.04541,0.09731,0.03244,0.04124,0.0885,0.02942,0.03686,0.0405,0.03595,2.9348,2.92711,2.93672,0.93,0.93,0.93,154.166,139.03,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,109.0833333,-,0.04543,0.09731,0.03246,0.04125,0.0885,0.02944,0.03686,0.0405,0.03595,2.93542,2.92711,2.9375,0.93,0.93,0.93,154.166,138.803,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,124.6666667,-,0.04536,0.09731,0.03237,0.04115,0.0885,0.02931,0.03668,0.0405,0.03573,2.936,2.92711,2.93822,0.93,0.93,0.93,154.166,138.59,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,140.2500000,-,0.04537,0.09737,0.03237,0.04116,0.08854,0.02931,0.03668,0.0405,0.03573,2.93662,2.92826,2.93871,0.93,0.93,0.84,153.405,138.544,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,155.8333333,-,0.0454,0.0975,0.03237,0.04117,0.08859,0.02931,0.03668,0.0405,0.03573,2.9372,2.93116,2.93871,0.93,0.93,0.84,152.511,138.544,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,171.4166667,-,0.04542,0.09761,0.03237,0.04117,0.08859,0.02931,0.03668,0.0405,0.03573,2.93782,2.93425,2.93871,0.93,0.93,0.84,151.557,138.544,11300.0,0.0,11300==11300.0
Gowalla,MostPop,2%,020%,C,187.0000000,-,0.04548,0.0979,0.03237,0.04124,0.08894,0.02931,0.03671,0.04066,0.03573,2.93871,2.93871,2.93871,0.84,0.84,0.84,150.59,138.544,11300.0,0.0,11300==11300.0
