Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Gowalla,NeuMF,2%,020%,N,-,-,0.05625,0.08339,0.04947,0.05283,0.07832,0.04646,0.05358,0.03635,0.05789,3.34088,3.35337,3.33775,14.63,11.27,13.71,74.091,77.348,10447.0,853.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,0.0000000,-,0.05724,0.06418,0.05551,0.05319,0.06062,0.05133,0.05599,0.02877,0.06279,3.33879,3.34678,3.3368,14.63,11.44,13.88,75.748,77.251,10452.0,848.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,72.0000000,-,0.05777,0.06695,0.05547,0.05363,0.06327,0.05122,0.05621,0.0302,0.06271,3.33896,3.34748,3.33683,14.63,11.44,13.79,75.874,77.366,10451.0,849.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,144.0000000,-,0.05771,0.07069,0.05447,0.05363,0.06637,0.05044,0.05614,0.0317,0.06225,3.33945,3.34799,3.33731,14.63,11.52,13.71,75.265,77.293,10448.0,852.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,216.0000000,-,0.05749,0.07127,0.05405,0.05372,0.0677,0.05022,0.0561,0.0324,0.06203,3.33998,3.34929,3.33765,14.63,11.52,13.71,75.316,77.283,10447.0,853.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,288.0000000,-,0.05713,0.07194,0.05343,0.05327,0.06814,0.04956,0.05576,0.03248,0.06158,3.34048,3.34953,3.33822,14.55,11.52,13.62,75.788,77.257,10450.0,850.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,360.0000000,-,0.05651,0.07109,0.05287,0.05283,0.06814,0.049,0.05535,0.03248,0.06107,3.34141,3.35233,3.33869,14.55,11.52,13.62,74.875,77.105,10449.0,851.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,432.0000000,-,0.05669,0.07229,0.05279,0.0531,0.06947,0.049,0.05545,0.03297,0.06107,3.34129,3.35223,3.33855,14.47,11.44,13.54,74.53,77.259,10448.0,852.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,504.0000000,-,0.05705,0.07577,0.05237,0.05336,0.07212,0.04867,0.05534,0.03427,0.06061,3.34253,3.35429,3.33959,14.63,11.44,13.71,74.363,77.073,10440.0,860.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,576.0000000,-,0.05714,0.07707,0.05215,0.05319,0.07257,0.04834,0.05507,0.03439,0.06024,3.34234,3.35586,3.33897,14.55,11.44,13.71,73.996,77.131,10439.0,861.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,648.0000000,-,0.05696,0.07806,0.05168,0.05319,0.07345,0.04812,0.05489,0.03476,0.05992,3.3411,3.35398,3.33788,14.63,11.44,13.71,74.234,77.277,10440.0,860.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,720.0000000,-,0.05698,0.08085,0.05101,0.05327,0.07566,0.04768,0.05466,0.03563,0.05942,3.34079,3.35353,3.3376,14.63,11.44,13.71,74.355,77.491,10440.0,860.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,792.0000000,-,0.05723,0.08242,0.05094,0.05354,0.07743,0.04757,0.0547,0.03618,0.05933,3.34007,3.35262,3.33693,14.72,11.35,13.71,74.791,77.531,10447.0,853.0,11300==11300.0
Gowalla,NeuMF,2%,020%,C,864.0000000,-,0.05625,0.08339,0.04947,0.05283,0.07832,0.04646,0.05358,0.03635,0.05789,3.34088,3.35337,3.33775,14.63,11.27,13.71,74.091,77.348,10447.0,853.0,11300==11300.0
