Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
Gowalla,PF,2%,020%,N,-,-,0.05921,0.07591,0.05504,0.05584,0.07389,0.05133,0.05677,0.03409,0.06244,4.05869,3.98114,4.07808,60.98,42.3,57.44,38.734,45.727,7927.0,3373.0,11300==11300.0
Gowalla,PF,2%,020%,C,0.0000000,-,0.06763,0.06996,0.06705,0.06354,0.06549,0.06305,0.06789,0.03053,0.07724,4.07332,3.93795,4.10716,61.56,41.55,58.7,46.074,43.609,7895.000000000002,3404.999999999998,11300==11300.0
Gowalla,PF,2%,020%,C,110.4166667,-,0.0673,0.07169,0.0662,0.0631,0.06681,0.06217,0.0672,0.03117,0.07621,4.07107,3.94064,4.10368,61.56,41.55,58.62,46.162,43.871,7909.583333333332,3390.416666666668,11300==11300.0
Gowalla,PF,2%,020%,C,220.8333333,-,0.0664,0.07228,0.06494,0.0623,0.0677,0.06095,0.06626,0.03153,0.07494,4.06893,3.94634,4.09958,61.48,41.88,58.45,44.696,44.3,7918.0,3382.0,11300==11300.0
Gowalla,PF,2%,020%,C,331.2500000,-,0.0659,0.07323,0.06406,0.06186,0.06903,0.06007,0.06554,0.03211,0.0739,4.06706,3.9543,4.09525,61.4,41.97,58.45,43.51,44.671,7924.0,3376.0,11300==11300.0
Gowalla,PF,2%,020%,C,441.6666667,-,0.06568,0.07473,0.06342,0.06133,0.07035,0.05907,0.06484,0.03272,0.07288,4.0655,3.95605,4.09286,61.31,41.8,58.2,42.086,44.671,7933.0,3367.0,11300==11300.0
Gowalla,PF,2%,020%,C,552.0833333,-,0.06523,0.075,0.06279,0.06106,0.0708,0.05863,0.06454,0.03291,0.07244,4.06365,3.9586,4.08992,61.23,41.88,58.2,41.646,44.99,7929.916666666663,3370.083333333337,11300==11300.0
Gowalla,PF,2%,020%,C,662.5000000,-,0.06477,0.07502,0.0622,0.06071,0.07168,0.05796,0.06381,0.03326,0.07145,4.06358,3.96486,4.08826,61.14,42.22,58.03,40.824,45.067,7923.0,3377.0,11300==11300.0
Gowalla,PF,2%,020%,C,772.9166667,-,0.06388,0.07538,0.06101,0.06,0.07212,0.05697,0.06303,0.03347,0.07043,4.06315,3.9708,4.08623,61.06,42.22,57.86,39.709,45.344,7920.0833333333285,3379.9166666666715,11300==11300.0
Gowalla,PF,2%,020%,C,883.3333333,-,0.06289,0.07567,0.0597,0.05929,0.07257,0.05597,0.06189,0.03356,0.06897,4.06039,3.97087,4.08277,61.06,42.14,57.86,39.202,45.661,7933.0,3367.0,11300==11300.0
Gowalla,PF,2%,020%,C,993.7500000,-,0.06144,0.07563,0.05789,0.05815,0.07306,0.05442,0.06045,0.03376,0.06712,4.06355,3.97459,4.08579,61.14,42.22,57.78,38.857,45.372,7916.249999999995,3383.7500000000045,11300==11300.0
Gowalla,PF,2%,020%,C,1104.1666667,-,0.0608,0.07632,0.05692,0.05726,0.07389,0.0531,0.05888,0.03409,0.06508,4.06179,3.97932,4.08241,61.06,42.3,57.7,38.293,45.383,7926.0,3374.0,11300==11300.0
Gowalla,PF,2%,020%,C,1214.5833333,-,0.05992,0.07633,0.05582,0.05637,0.07389,0.05199,0.05761,0.03409,0.06349,4.06047,3.983,4.07983,60.98,42.3,57.61,38.185,45.649,7927.0,3373.0,11300==11300.0
Gowalla,PF,2%,020%,C,1325.0000000,-,0.05921,0.07591,0.05504,0.05584,0.07389,0.05133,0.05677,0.03409,0.06244,4.05869,3.98114,4.07808,60.98,42.3,57.44,38.734,45.727,7927.0,3373.0,11300==11300.0
