Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,BPR,2%,020%,N,-,-,0.02902,0.04553,0.02489,0.0285,0.03872,0.02594,0.03833,0.04741,0.03605,3.39008,3.39008,3.39008,0.66,0.66,0.66,3.963,102.065,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,0.0000000,-,0.02835,0.04334,0.0246,0.02828,0.03649,0.02622,0.03815,0.04504,0.03643,3.37674,3.34905,3.38367,1.13,1.13,0.86,9.943,101.255,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,47.8333333,-,0.02836,0.04336,0.0246,0.02828,0.03649,0.02622,0.03815,0.04504,0.03643,3.37694,3.34992,3.3837,1.06,1.06,0.8,9.332,101.266,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,95.6666667,-,0.02849,0.04402,0.0246,0.02834,0.0368,0.02622,0.03823,0.04544,0.03643,3.37882,3.35931,3.3837,0.93,0.93,0.8,7.693,101.266,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,143.5000000,-,0.02852,0.04414,0.02461,0.02839,0.03705,0.02623,0.03828,0.04567,0.03643,3.38154,3.37389,3.38345,0.86,0.86,0.8,5.523,101.286,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,191.3333333,-,0.02857,0.04433,0.02462,0.02839,0.03736,0.02615,0.03827,0.04598,0.03634,3.38206,3.37311,3.3843,0.86,0.86,0.8,5.715,101.76,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,239.1666667,-,0.02858,0.04432,0.02465,0.02833,0.03733,0.02608,0.03819,0.04598,0.03624,3.38311,3.37421,3.38534,0.86,0.86,0.8,5.752,102.22,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,287.0000000,-,0.02858,0.04434,0.02464,0.02828,0.03733,0.02601,0.03812,0.04598,0.03615,3.3843,3.37482,3.38668,0.86,0.86,0.8,5.678,102.624,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,334.8333333,-,0.02878,0.04532,0.02464,0.02856,0.03872,0.02601,0.03841,0.04741,0.03615,3.38446,3.3756,3.38668,0.8,0.8,0.8,5.112,102.62,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,382.6666667,-,0.0288,0.04535,0.02466,0.02856,0.03872,0.02601,0.03841,0.04741,0.03615,3.38551,3.37934,3.38706,0.73,0.73,0.73,4.862,102.525,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,430.5000000,-,0.0289,0.04542,0.02476,0.02856,0.03872,0.02602,0.03841,0.04741,0.03615,3.38661,3.38231,3.38769,0.73,0.73,0.73,4.613,102.423,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,478.3333333,-,0.02889,0.04545,0.02475,0.0285,0.03872,0.02594,0.03833,0.04741,0.03605,3.38771,3.38383,3.38868,0.73,0.73,0.73,4.421,102.293,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,526.1666667,-,0.02896,0.0455,0.02482,0.0285,0.03872,0.02594,0.03833,0.04741,0.03605,3.38881,3.38768,3.38909,0.73,0.73,0.73,4.164,102.195,17970.0,0.0,17970==17970.0
LastFM,BPR,2%,020%,C,574.0000000,-,0.02902,0.04553,0.02489,0.0285,0.03872,0.02594,0.03833,0.04741,0.03605,3.39008,3.39008,3.39008,0.66,0.66,0.66,3.963,102.065,17970.0,0.0,17970==17970.0
