Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,NeuMF,2%,020%,N,-,-,0.04148,0.06821,0.03478,0.03904,0.06295,0.03305,0.05191,0.07348,0.04651,3.79747,3.75256,3.80872,9.16,8.16,9.02,4.283,97.967,17863.0,107.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,0.0000000,-,0.04065,0.05748,0.03644,0.03815,0.0532,0.03438,0.05102,0.06099,0.04852,3.79188,3.71904,3.81012,9.42,8.63,8.89,13.308,96.281,17857.0,113.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,51.8333333,-,0.04088,0.05853,0.03646,0.03832,0.05404,0.03438,0.05125,0.06216,0.04852,3.79168,3.71805,3.81011,9.42,8.63,8.89,13.0,96.385,17857.0,113.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,103.6666667,-,0.04075,0.05901,0.03618,0.0382,0.05432,0.03417,0.05108,0.0624,0.04825,3.79197,3.71879,3.81029,9.42,8.63,8.89,12.923,96.476,17858.0,112.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,155.5000000,-,0.04093,0.05984,0.0362,0.03838,0.05515,0.03418,0.0515,0.0645,0.04825,3.79144,3.71889,3.8096,9.36,8.56,8.89,13.041,96.745,17859.0,111.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,207.3333333,-,0.04121,0.06126,0.03619,0.03865,0.05655,0.03417,0.05179,0.06593,0.04825,3.79152,3.71988,3.80945,9.36,8.56,8.89,12.68,96.958,17859.0,111.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,259.1666667,-,0.04157,0.06306,0.03619,0.03898,0.05822,0.03417,0.0522,0.06798,0.04825,3.7919,3.72156,3.80951,9.36,8.56,8.89,12.12,97.071,17861.0,109.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,311.0000000,-,0.04144,0.06293,0.03606,0.03893,0.05822,0.0341,0.05215,0.06798,0.04819,3.79332,3.72664,3.81001,9.29,8.43,8.96,11.045,97.151,17860.0,110.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,362.8333333,-,0.04152,0.0645,0.03577,0.03898,0.05933,0.03389,0.05206,0.06905,0.04781,3.79303,3.72644,3.8097,9.29,8.43,8.96,10.871,97.259,17860.0,110.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,414.6666667,-,0.04137,0.06529,0.03538,0.03888,0.05992,0.03361,0.0519,0.06972,0.04744,3.79402,3.73165,3.80964,9.29,8.43,8.96,9.275,97.514,17860.0,110.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,466.5000000,-,0.04167,0.06702,0.03533,0.03915,0.06156,0.03354,0.05227,0.07192,0.04735,3.79434,3.73613,3.80891,9.16,8.23,8.96,8.168,97.813,17861.0,109.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,518.3333333,-,0.04151,0.06712,0.0351,0.03898,0.06212,0.03319,0.05184,0.0725,0.04667,3.79501,3.7414,3.80843,9.16,8.16,9.02,6.778,98.039,17863.0,107.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,570.1666667,-,0.04152,0.06794,0.03491,0.03904,0.06267,0.03312,0.0519,0.07308,0.0466,3.79583,3.746,3.8083,9.16,8.16,9.02,5.547,98.088,17863.0,107.0,17970==17970.0
LastFM,NeuMF,2%,020%,C,622.0000000,-,0.04148,0.06821,0.03478,0.03904,0.06295,0.03305,0.05191,0.07348,0.04651,3.79747,3.75256,3.80872,9.16,8.16,9.02,4.283,97.967,17863.0,107.0,17970==17970.0
