Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,VAECF,2%,020%,N,-,-,0.05602,0.08076,0.04983,0.05103,0.07382,0.04533,0.07014,0.08476,0.06648,4.60395,4.08576,4.73368,42.93,18.38,42.87,-14.901,21.744,13890.0,4080.0,17970==17970.0
LastFM,VAECF,2%,020%,C,0.0000000,-,0.05269,0.04555,0.05448,0.04869,0.04763,0.04895,0.06885,0.05527,0.07224,4.57063,3.93632,4.72943,43.13,18.45,42.8,9.73,20.293,13943.0,4027.0,17970==17970.0
LastFM,VAECF,2%,020%,C,125.1666667,-,0.0529,0.04727,0.0543,0.04863,0.04847,0.04868,0.06871,0.05616,0.07186,4.57254,3.94357,4.73,43.13,18.45,42.8,8.404,20.228,13944.000000002876,4026.0000000000405,17970==17970.000000002918
LastFM,VAECF,2%,020%,C,250.3333333,-,0.05313,0.04984,0.05395,0.04897,0.05125,0.0484,0.06892,0.05906,0.07138,4.57444,3.9524,4.73017,43.13,18.45,42.8,7.326,20.41,13939.0,4031.0,17970==17970.0
LastFM,VAECF,2%,020%,C,375.5000000,-,0.05333,0.05158,0.05377,0.04902,0.05237,0.04819,0.06899,0.06071,0.07107,4.57561,3.96196,4.72924,43.13,18.51,42.8,6.07,20.384,13940.000000002876,4030.0000000000396,17970==17970.000000002914
LastFM,VAECF,2%,020%,C,500.6666667,-,0.05357,0.05436,0.05337,0.04925,0.0546,0.04792,0.06912,0.06328,0.07059,4.57804,3.97164,4.72985,43.13,18.58,42.8,4.642,20.596,13935.33333333332,4034.666666666681,17970==17970.0
LastFM,VAECF,2%,020%,C,625.8333333,-,0.05375,0.05678,0.053,0.04941,0.05682,0.04756,0.06915,0.06567,0.07002,4.58065,3.98209,4.7305,43.13,18.51,42.87,2.937,20.664,13935.0,4035.0,17970==17970.0
LastFM,VAECF,2%,020%,C,751.0000000,-,0.05409,0.06047,0.0525,0.04975,0.06017,0.04714,0.06941,0.069,0.06951,4.58423,3.99415,4.73195,43.07,18.51,42.8,1.15,20.463,13928.0,4042.0,17970==17970.0
LastFM,VAECF,2%,020%,C,876.1666667,-,0.05436,0.06335,0.05211,0.04998,0.06271,0.04679,0.06922,0.07223,0.06847,4.58725,4.00743,4.73241,43.07,18.45,42.87,-1.204,20.459,13920.000000002867,4050.0000000000355,17970==17970.000000002903
LastFM,VAECF,2%,020%,C,1001.3333333,-,0.05481,0.06686,0.05179,0.05026,0.0649,0.04659,0.0696,0.0748,0.0683,4.59022,4.02399,4.73198,42.93,18.18,42.87,-3.806,20.518,13919.0,4051.0,17970==17970.0
LastFM,VAECF,2%,020%,C,1126.5000000,-,0.05493,0.06909,0.05138,0.05038,0.06695,0.04623,0.06966,0.07678,0.06788,4.59488,4.04363,4.73288,42.93,18.18,42.87,-7.992,20.492,13916.000000002865,4054.0000000000346,17970==17970.0000000029
LastFM,VAECF,2%,020%,C,1251.6666667,-,0.05484,0.07173,0.05061,0.05036,0.06825,0.04589,0.0695,0.0782,0.06732,4.59824,4.05927,4.73318,43.0,18.31,42.93,-10.911,20.662,13911.0,4059.0,17970==17970.0
LastFM,VAECF,2%,020%,C,1376.8333333,-,0.05521,0.07448,0.05039,0.05047,0.06992,0.04561,0.06947,0.08025,0.06677,4.60197,4.07494,4.73392,42.93,18.38,42.87,-13.203,21.186,13898.0,4072.0,17970==17970.0
LastFM,VAECF,2%,020%,C,1502.0000000,-,0.05602,0.08076,0.04983,0.05103,0.07382,0.04533,0.07014,0.08476,0.06648,4.60395,4.08576,4.73368,42.93,18.38,42.87,-14.901,21.744,13890.0,4080.0,17970==17970.0
