Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
LastFM,WMF,2%,020%,N,-,-,0.03189,0.04528,0.02853,0.03012,0.04318,0.02685,0.04337,0.04944,0.04184,5.53599,5.22537,5.61375,78.04,26.41,77.5,-52.414,-43.367,8000.0,9970.0,17970==17970.0
LastFM,WMF,2%,020%,C,0.0000000,-,0.03341,0.03943,0.03191,0.03146,0.03844,0.02971,0.04571,0.04377,0.0462,5.53548,5.11387,5.64103,75.25,27.34,74.59,-45.46,-46.353,7996.0,9974.0,17970==17970.0
LastFM,WMF,2%,020%,C,103.7500000,-,0.03323,0.03976,0.0316,0.03134,0.039,0.02943,0.04559,0.04468,0.04582,5.536,5.12363,5.63923,75.58,27.21,74.92,-46.255,-46.202,7990.25,9979.75,17970==17970.0
LastFM,WMF,2%,020%,C,207.5000000,-,0.03322,0.04017,0.03148,0.03129,0.03955,0.02922,0.0455,0.04521,0.04557,5.53623,5.13697,5.63618,75.78,27.07,75.12,-46.989,-45.878,7990.0,9980.0,17970==17970.0
LastFM,WMF,2%,020%,C,311.2500000,-,0.03318,0.04055,0.03134,0.03134,0.03983,0.02922,0.04561,0.04577,0.04557,5.5383,5.14376,5.63707,76.05,27.01,75.45,-47.487,-46.01,7980.75,9989.25,17970==17970.0
LastFM,WMF,2%,020%,C,415.0000000,-,0.03289,0.04091,0.03089,0.03107,0.04011,0.0288,0.04503,0.04593,0.0448,5.5388,5.14938,5.63629,76.24,27.01,75.65,-47.632,-45.824,7984.0,9986.0,17970==17970.0
LastFM,WMF,2%,020%,C,518.7500000,-,0.03279,0.04118,0.03069,0.03101,0.04039,0.02866,0.04478,0.04633,0.04439,5.53763,5.1579,5.6327,76.58,27.01,75.98,-48.148,-45.637,7987.75,9982.25,17970==17970.0
LastFM,WMF,2%,020%,C,622.5000000,-,0.03267,0.04193,0.03036,0.0309,0.04123,0.02831,0.04464,0.04725,0.04398,5.53861,5.16873,5.63121,76.84,26.81,76.31,-48.751,-45.329,7985.0,9985.0,17970==17970.0
LastFM,WMF,2%,020%,C,726.2500000,-,0.03271,0.04329,0.03007,0.0309,0.04206,0.02811,0.04454,0.0482,0.04362,5.53942,5.18719,5.6276,77.04,26.61,76.44,-50.506,-44.958,7981.0,9989.0,17970==17970.0
LastFM,WMF,2%,020%,C,830.0000000,-,0.03245,0.04348,0.02969,0.03067,0.04206,0.02782,0.04428,0.0482,0.0433,5.54069,5.19637,5.62689,77.31,26.54,76.78,-50.906,-44.689,7980.0,9990.0,17970==17970.0
LastFM,WMF,2%,020%,C,933.7500000,-,0.03223,0.04361,0.02938,0.03051,0.04206,0.02762,0.0441,0.0482,0.04308,5.54004,5.20645,5.62355,77.5,26.54,76.97,-51.546,-44.354,7978.75,9991.25,17970==17970.0
LastFM,WMF,2%,020%,C,1037.5000000,-,0.03207,0.04429,0.02901,0.03028,0.04234,0.02727,0.04374,0.04848,0.04256,5.53898,5.21387,5.62037,77.57,26.54,77.04,-51.805,-44.161,7982.0,9988.0,17970==17970.0
LastFM,WMF,2%,020%,C,1141.2500000,-,0.03182,0.04444,0.02867,0.03012,0.04262,0.02699,0.04334,0.04873,0.04199,5.53737,5.2187,5.61715,77.84,26.48,77.31,-51.91,-43.65,7990.75,9979.25,17970==17970.0
LastFM,WMF,2%,020%,C,1245.0000000,-,0.03189,0.04528,0.02853,0.03012,0.04318,0.02685,0.04337,0.04944,0.04184,5.53599,5.22537,5.61375,78.04,26.41,77.5,-52.414,-43.367,8000.0,9970.0,17970==17970.0
