Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
MovieLens,MostPop,2%,020%,N,-,-,0.08412,0.14074,0.06996,0.08064,0.14734,0.06396,0.05193,0.03037,0.05732,1.90139,1.90139,1.90139,0.74,0.74,0.74,130.167,84.496,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,0.0000000,-,0.08405,0.12586,0.0736,0.07989,0.13191,0.06689,0.05256,0.02716,0.05891,1.91481,1.9108,1.91581,1.04,1.04,1.04,128.91,82.865,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,53.7500000,-,0.08363,0.12686,0.07282,0.07968,0.13298,0.06636,0.05234,0.02742,0.05857,1.9146,1.91046,1.91563,1.04,1.04,0.96,128.96,82.855,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,107.5000000,-,0.08382,0.13117,0.07198,0.07969,0.13623,0.06556,0.0522,0.02802,0.05825,1.91394,1.90882,1.91522,0.96,0.96,0.89,129.059,82.94,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,161.2500000,-,0.08377,0.13159,0.07181,0.07959,0.13617,0.06544,0.05215,0.02802,0.05818,1.91328,1.9116,1.9137,0.89,0.89,0.89,128.775,83.077,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,215.0000000,-,0.0837,0.13159,0.07172,0.07957,0.13617,0.06543,0.05215,0.02802,0.05818,1.91208,1.9116,1.9122,0.89,0.89,0.89,128.775,83.266,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,268.7500000,-,0.08366,0.13265,0.07141,0.07968,0.13777,0.06516,0.05215,0.0284,0.05808,1.90999,1.90966,1.91007,0.89,0.89,0.89,129.037,83.48,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,322.5000000,-,0.08319,0.13265,0.07083,0.07948,0.13777,0.06491,0.05201,0.0284,0.05792,1.90709,1.90966,1.90644,0.89,0.89,0.89,129.037,83.91,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,376.2500000,-,0.08354,0.13616,0.07038,0.07991,0.14096,0.06464,0.05196,0.029,0.0577,1.90452,1.90563,1.90424,0.89,0.89,0.89,129.633,84.172,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,430.0000000,-,0.08393,0.1381,0.07038,0.08032,0.14309,0.06463,0.05206,0.02951,0.0577,1.90517,1.90745,1.9046,0.82,0.82,0.82,129.374,84.16,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,483.7500000,-,0.084,0.13912,0.07022,0.08043,0.14468,0.06436,0.05195,0.02988,0.05746,1.904,1.90666,1.90333,0.82,0.82,0.82,129.478,84.267,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,537.5000000,-,0.08427,0.14007,0.07032,0.08086,0.14628,0.06451,0.05215,0.03014,0.05765,1.90305,1.90385,1.90285,0.82,0.82,0.82,129.845,84.317,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,591.2500000,-,0.08413,0.14046,0.07005,0.08065,0.14687,0.0641,0.05196,0.03032,0.05737,1.9021,1.90213,1.9021,0.82,0.82,0.82,129.944,84.422,9430.0,0.0,9430==9430.0
MovieLens,MostPop,2%,020%,C,645.0000000,-,0.08412,0.14074,0.06996,0.08064,0.14734,0.06396,0.05193,0.03037,0.05732,1.90139,1.90139,1.90139,0.74,0.74,0.74,130.167,84.496,9430.0,0.0,9430==9430.0
