Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
MovieLens,NeuMF,2%,020%,N,-,-,0.11047,0.15878,0.09839,0.10585,0.15691,0.09309,0.07803,0.03316,0.08925,2.23728,2.22244,2.24099,14.53,12.6,13.12,91.398,53.975,9374.0,56.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,0.0000000,-,0.10721,0.06285,0.11831,0.09957,0.06064,0.10931,0.08321,0.01385,0.10055,2.25697,2.20763,2.26931,14.6,12.6,13.34,93.586,51.019,9366.0,64.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,105.4166667,-,0.1077,0.07104,0.11687,0.10001,0.06862,0.10786,0.08262,0.01534,0.09945,2.25523,2.20677,2.26735,14.6,12.6,13.42,93.7,51.211,9366.0,64.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,210.8333333,-,0.10765,0.07776,0.11513,0.10012,0.07612,0.10612,0.08182,0.01686,0.09806,2.25449,2.2067,2.26644,14.53,12.6,13.34,93.521,51.35,9365.0,65.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,316.2500000,-,0.10792,0.08545,0.11354,0.10087,0.08469,0.10492,0.08173,0.01868,0.0975,2.25275,2.2051,2.26466,14.53,12.6,13.27,93.687,51.561,9365.0,65.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,421.6666667,-,0.10742,0.0906,0.11163,0.10077,0.08936,0.10362,0.08124,0.01964,0.09664,2.25116,2.20884,2.26174,14.53,12.6,13.27,93.352,51.826,9367.0,63.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,527.0833333,-,0.10732,0.09859,0.1095,0.10085,0.09628,0.10199,0.08079,0.0209,0.09577,2.24951,2.20878,2.25969,14.46,12.53,13.12,93.261,52.055,9367.0,63.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,632.5000000,-,0.1073,0.1042,0.10807,0.10117,0.10266,0.1008,0.08039,0.02199,0.09498,2.24654,2.20841,2.25607,14.38,12.45,13.19,93.314,52.422,9368.0,62.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,737.9166667,-,0.10773,0.11033,0.10709,0.10191,0.11011,0.09987,0.08002,0.02344,0.09416,2.24389,2.2119,2.25188,14.38,12.53,13.12,92.828,52.901,9369.0,61.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,843.3333333,-,0.10813,0.11776,0.10572,0.10257,0.11702,0.09895,0.07942,0.02475,0.09309,2.24078,2.21338,2.24763,14.38,12.6,13.12,92.592,53.328,9370.0,60.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,948.7500000,-,0.10791,0.12575,0.10345,0.10226,0.12299,0.09707,0.0782,0.026,0.09125,2.2383,2.21459,2.24422,14.6,12.68,13.27,92.26,53.695,9372.0,58.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,1054.1666667,-,0.10832,0.13666,0.10123,0.10332,0.13522,0.09535,0.07802,0.02845,0.09041,2.23738,2.21517,2.24293,14.68,12.68,13.19,92.212,53.791,9371.0,59.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,1159.5833333,-,0.1097,0.14956,0.09974,0.10479,0.14787,0.09402,0.07802,0.03117,0.08973,2.23777,2.22081,2.24201,14.68,12.68,13.19,91.606,53.845,9372.0,58.0,9430==9430.0
MovieLens,NeuMF,2%,020%,C,1265.0000000,-,0.11047,0.15878,0.09839,0.10585,0.15691,0.09309,0.07803,0.03316,0.08925,2.23728,2.22244,2.24099,14.53,12.6,13.12,91.398,53.975,9374.0,56.0,9430==9430.0
