Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
MovieLens,PF,2%,020%,N,-,-,0.11199,0.15984,0.10003,0.10628,0.15904,0.09309,0.08095,0.03318,0.09289,2.51004,2.39157,2.53966,35.8,21.65,33.28,77.569,32.5,8568.0,862.0,9430==9430.0
MovieLens,PF,2%,020%,C,0.0000000,-,0.13658,0.1192,0.14093,0.12681,0.12074,0.12832,0.10682,0.02533,0.1272,2.53296,2.39609,2.56717,36.92,21.72,34.54,76.9,30.416,8507.0,923.0,9430==9430.0
MovieLens,PF,2%,020%,C,141.4166667,-,0.13479,0.12636,0.1369,0.12489,0.1266,0.12447,0.105,0.02655,0.12461,2.53229,2.3965,2.56624,36.77,21.57,34.47,76.759,30.493,8512.0,918.0,9430==9430.0
MovieLens,PF,2%,020%,C,282.8333333,-,0.13272,0.13014,0.13336,0.1233,0.13032,0.12154,0.10338,0.02726,0.12241,2.52988,2.39535,2.56352,36.92,21.72,34.54,76.913,30.703,8514.0,916.0,9430==9430.0
MovieLens,PF,2%,020%,C,424.2500000,-,0.13177,0.13701,0.13046,0.12245,0.13617,0.11902,0.10155,0.02843,0.11982,2.52794,2.38919,2.56262,36.84,21.72,34.47,77.663,30.766,8516.250000000002,913.7499999999982,9430==9430.0
MovieLens,PF,2%,020%,C,565.6666667,-,0.13027,0.14109,0.12757,0.12117,0.14096,0.11622,0.1,0.02937,0.11765,2.52663,2.39058,2.56064,36.77,21.72,34.4,77.561,30.903,8518.0,912.0,9430==9430.0
MovieLens,PF,2%,020%,C,707.0833333,-,0.12867,0.14531,0.12451,0.12013,0.14427,0.1141,0.09854,0.02998,0.11568,2.52474,2.38862,2.55876,36.55,21.65,34.17,77.618,31.108,8521.0,909.0,9430==9430.0
MovieLens,PF,2%,020%,C,848.5000000,-,0.12718,0.14843,0.12187,0.11885,0.14787,0.1116,0.09717,0.03088,0.11374,2.52279,2.38889,2.55627,36.47,21.5,34.1,77.723,31.241,8529.0,901.0,9430==9430.0
MovieLens,PF,2%,020%,C,989.9166667,-,0.12525,0.15207,0.11855,0.11748,0.1516,0.10895,0.09572,0.03169,0.11173,2.52219,2.38857,2.5556,36.4,21.5,33.95,77.823,31.33,8526.0,904.0,9430==9430.0
MovieLens,PF,2%,020%,C,1131.3333333,-,0.12274,0.15348,0.11505,0.11553,0.15319,0.10612,0.0938,0.032,0.10925,2.5186,2.38956,2.55087,36.17,21.57,33.73,77.739,31.622,8535.0,895.0,9430==9430.0
MovieLens,PF,2%,020%,C,1272.7500000,-,0.11968,0.15497,0.11086,0.1132,0.15532,0.10267,0.09133,0.03241,0.10606,2.5189,2.39119,2.55083,36.03,21.65,33.58,77.58,31.547,8536.750000000005,893.2499999999947,9430==9430.0
MovieLens,PF,2%,020%,C,1414.1666667,-,0.1165,0.15636,0.10653,0.11032,0.15691,0.09867,0.08793,0.0328,0.10171,2.51833,2.39032,2.55034,36.25,21.65,33.73,77.712,31.519,8549.166666666675,880.8333333333238,9430==9429.999999999998
MovieLens,PF,2%,020%,C,1555.5833333,-,0.11428,0.15776,0.1034,0.10851,0.15798,0.09614,0.08438,0.03304,0.09722,2.51557,2.38983,2.547,36.03,21.65,33.43,77.791,31.829,8553.0,877.0,9430==9430.0
MovieLens,PF,2%,020%,C,1697.0000000,-,0.11199,0.15984,0.10003,0.10628,0.15904,0.09309,0.08095,0.03318,0.09289,2.51004,2.39157,2.53966,35.8,21.65,33.28,77.569,32.5,8568.0,862.0,9430==9430.0
