Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Active_GAP,Inactive_Gap,Short_Items,Long_Items,All_Items
MovieLens,WMF,2%,020%,N,-,-,0.0609,0.10347,0.05025,0.06202,0.10372,0.0516,0.04293,0.02081,0.04846,2.57514,2.61548,2.56505,8.9,6.38,8.9,51.922,25.992,9190.0,240.0,9430==9430.0
MovieLens,WMF,2%,020%,C,0.0000000,-,0.05908,0.07595,0.05486,0.06021,0.07713,0.05598,0.04468,0.01538,0.05201,2.57962,2.58583,2.57807,8.97,6.38,8.97,54.633,24.825,9188.0,242.0,9430==9430.0
MovieLens,WMF,2%,020%,C,48.6666667,-,0.05867,0.07596,0.05435,0.0598,0.07719,0.05545,0.04449,0.01538,0.05177,2.57868,2.58482,2.57715,8.97,6.38,8.97,54.662,24.925,9187.0,243.0,9430==9430.0
MovieLens,WMF,2%,020%,C,97.3333333,-,0.05837,0.07788,0.05349,0.05969,0.07926,0.0548,0.04429,0.01567,0.05144,2.57898,2.58899,2.57648,8.9,6.38,8.9,54.452,24.977,9184.333333333332,245.6666666666673,9430==9430.0
MovieLens,WMF,2%,020%,C,146.0000000,-,0.05871,0.08018,0.05334,0.06,0.08138,0.05465,0.04422,0.01609,0.05125,2.57966,2.59517,2.57579,8.9,6.38,8.9,53.777,25.058,9184.0,246.0,9430==9430.0
MovieLens,WMF,2%,020%,C,194.6666667,-,0.05923,0.08285,0.05332,0.06045,0.08363,0.05465,0.04432,0.01657,0.05125,2.57963,2.59733,2.57521,8.9,6.38,8.9,53.408,25.132,9182.0,248.0,9430==9430.0
MovieLens,WMF,2%,020%,C,243.3333333,-,0.05962,0.0853,0.0532,0.06074,0.08617,0.05439,0.04426,0.01721,0.05103,2.57948,2.60304,2.57359,8.9,6.38,8.9,52.911,25.256,9181.0,249.0,9430==9430.0
MovieLens,WMF,2%,020%,C,292.0000000,-,0.0595,0.08642,0.05277,0.06074,0.08777,0.05399,0.04394,0.01748,0.05055,2.57883,2.60676,2.57184,8.9,6.38,8.9,52.675,25.414,9183.0,247.0,9430==9430.0
MovieLens,WMF,2%,020%,C,340.6666667,-,0.05999,0.08989,0.05251,0.06129,0.09149,0.05374,0.04403,0.01832,0.05046,2.57761,2.60883,2.5698,8.9,6.38,8.9,52.541,25.554,9184.0,246.0,9430==9430.0
MovieLens,WMF,2%,020%,C,389.3333333,-,0.06055,0.09316,0.0524,0.0617,0.09415,0.05359,0.04411,0.01886,0.05042,2.57666,2.6085,2.5687,8.9,6.38,8.9,52.563,25.652,9187.0,243.0,9430==9430.0
MovieLens,WMF,2%,020%,C,438.0000000,-,0.06089,0.09662,0.05196,0.06191,0.09734,0.05306,0.04376,0.01959,0.0498,2.57592,2.60989,2.56743,8.9,6.38,8.9,52.416,25.785,9189.0,241.0,9430==9430.0
MovieLens,WMF,2%,020%,C,486.6666667,-,0.06091,0.09962,0.05124,0.06182,0.09953,0.05239,0.04327,0.02004,0.04908,2.57562,2.60941,2.56718,8.9,6.38,8.9,52.309,25.826,9187.0,243.0,9430==9430.0
MovieLens,WMF,2%,020%,C,535.3333333,-,0.06074,0.10092,0.05069,0.06184,0.10124,0.05199,0.04312,0.02036,0.04881,2.57533,2.61256,2.56603,8.9,6.38,8.9,52.044,25.917,9189.0,241.0,9430==9430.0
MovieLens,WMF,2%,020%,C,584.0000000,-,0.0609,0.10347,0.05025,0.06202,0.10372,0.0516,0.04293,0.02081,0.04846,2.57514,2.61548,2.56505,8.9,6.38,8.9,51.922,25.992,9190.0,240.0,9430==9430.0
