Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0067,0.0259,0.0055,0.0203,0.0,5.6695,0.69,21700.0,0.0,114.089,149.144 
MostPop,Fair,0.0068,0.0258,0.0057,0.0202,0.49,5.6701,0.87,21700.0,0.0,113.459,149.032 
BPR,Org.,0.0064,0.0192,0.0056,0.0136,0.0,5.6706,0.63,21700.0,0.0,113.669,148.888 
BPR,Fair,0.0064,0.0193,0.0056,0.0136,0.0,5.6707,0.69,21700.0,0.0,113.372,148.842 
PF,Org.,0.0085,0.0314,0.0072,0.0242,0.0,6.8764,75.71,11399.0,10301.0,18.475,20.773 
PF,Fair,0.009,0.0301,0.0078,0.0223,7.85,6.8748,76.46,11405.0,10295.0,20.97,20.888 
WMF,Org.,0.0083,0.0177,0.0077,0.0099,0.0,6.9555,89.61,11786.0,9914.0,33.918,14.731 
WMF,Fair,0.009,0.0126,0.0088,0.0037,62.63,6.943,87.94,11991.0,9709.0,33.566,15.501 
NeuMF,Org.,0.0072,0.0256,0.0061,0.0195,0.0,5.7281,4.44,21700.0,0.0,104.755,140.09 
NeuMF,Fair,0.007,0.0236,0.0061,0.0175,10.26,5.7314,4.44,21700.0,0.0,104.289,139.487 
VAECF,Org.,0.0123,0.0416,0.0106,0.031,0.0,6.486,36.3,15828.0,5872.0,49.131,54.608 
VAECF,Fair,0.0122,0.0343,0.011,0.0233,24.84,6.4843,36.24,15825.0,5875.0,49.871,54.738 
