Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0304,0.0368,0.0301,0.0067,0.0,3.5466,0.68,15680.0,0.0,217.676,195.36 
MostPop,Fair,0.0321,0.0358,0.0319,0.0039,41.79,3.5986,1.64,15680.0,0.0,219.953,179.196 
BPR,Org.,0.03,0.0372,0.0296,0.0076,0.0,3.5461,0.68,15680.0,0.0,202.239,181.008 
BPR,Fair,0.0314,0.0339,0.0312,0.0026,65.79,3.5925,1.3,15680.0,0.0,188.487,164.442 
PF,Org.,0.0223,0.0127,0.0228,-0.0101,0.0,5.1479,56.88,12570.0,3110.0,9.565,61.274 
PF,Fair,0.0223,0.0127,0.0228,-0.0101,0.0,5.1479,56.88,12570.0,3110.0,9.565,61.274 
WMF,Org.,0.0175,0.027,0.017,0.01,0.0,5.6952,71.18,9726.0,5954.0,-18.585,-18.314 
WMF,Fair,0.0185,0.0214,0.0184,0.003,70.0,5.7282,68.72,9677.0,6003.0,-10.276,-23.569 
NeuMF,Org.,0.0299,0.0319,0.0298,0.0021,0.0,3.6794,4.59,15677.0,3.0,185.546,160.292 
NeuMF,Fair,0.0302,0.0306,0.0302,0.0004,80.95,3.684,4.59,15677.0,3.0,187.337,158.443 
VAECF,Org.,0.0397,0.0388,0.0398,-0.001,0.0,4.3894,26.01,13927.0,1753.0,105.921,98.082 
VAECF,Fair,0.0397,0.0388,0.0398,-0.001,0.0,4.3894,26.01,13927.0,1753.0,105.921,98.082 
