Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0455,0.0997,0.0426,0.057,0.0,2.9387,0.84,11300.0,0.0,170.746,139.482 
MostPop,Fair,0.0501,0.0621,0.0494,0.0127,77.72,2.9919,2.19,11300.0,0.0,176.57,135.48 
BPR,Org.,0.0415,0.0976,0.0386,0.059,0.0,2.938,1.18,11300.0,0.0,252.183,211.384 
BPR,Fair,0.0438,0.0561,0.0431,0.013,77.97,2.9862,2.61,11300.0,0.0,227.88,195.948 
PF,Org.,0.0592,0.0685,0.0587,0.0098,0.0,4.0587,60.98,7927.0,3373.0,41.97,44.494 
PF,Fair,0.0627,0.066,0.0625,0.0035,64.29,4.0625,61.14,7927.8333,3372.1667,44.264,44.507 
WMF,Org.,0.0338,0.055,0.0327,0.0223,0.0,4.5012,46.17,6523.0,4777.0,9.017,-6.747 
WMF,Fair,0.041,0.0419,0.041,0.0009,95.96,4.5621,43.4,6338.0,4962.0,11.919,-14.923 
NeuMF,Org.,0.0562,0.1061,0.0536,0.0524,0.0,3.3409,14.63,10447.0,853.0,81.204,76.515 
NeuMF,Fair,0.0612,0.0722,0.0606,0.0115,78.05,3.3428,14.63,10445.0,855.0,82.01,75.911 
VAECF,Org.,0.0608,0.093,0.0592,0.0339,0.0,3.8277,41.04,8026.0,3274.0,62.203,32.206 
VAECF,Fair,0.0683,0.0699,0.0682,0.0017,94.99,3.8284,41.13,8031.0,3269.0,60.686,32.118 
