Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0297,0.032,0.0296,0.0024,0.0,3.3842,0.66,17970.0,0.0,53.463,111.297 
MostPop,Fair,0.03,0.0309,0.03,0.0009,62.5,3.3789,0.86,17970.0,0.0,50.013,109.27 
BPR,Org.,0.0299,0.0344,0.0297,0.0046,0.0,3.392,0.73,17970.0,0.0,31.908,81.347 
BPR,Fair,0.0302,0.0319,0.0302,0.0017,63.04,3.3917,1.19,17970.0,0.0,41.885,81.01 
PF,Org.,0.0372,0.0259,0.0378,-0.0119,0.0,5.0905,66.82,12480.0,5490.0,-50.942,-23.749 
PF,Fair,0.0372,0.0259,0.0378,-0.0119,0.0,5.0905,66.82,12480.0,5490.0,-50.942,-23.749 
WMF,Org.,0.0319,0.0498,0.0309,0.0188,0.0,5.536,78.04,8000.0,9970.0,-50.864,-45.98 
WMF,Fair,0.0367,0.0383,0.0366,0.0017,90.96,5.5886,74.52,7721.25,10248.75,-42.613,-51.132 
NeuMF,Org.,0.0415,0.0394,0.0416,-0.0022,0.0,3.7975,9.16,17863.0,107.0,31.44,69.969 
NeuMF,Fair,0.0415,0.0394,0.0416,-0.0022,0.0,3.7975,9.16,17863.0,107.0,31.44,69.969 
VAECF,Org.,0.056,0.0651,0.0556,0.0095,0.0,4.604,42.93,13890.0,4080.0,-6.103,10.94 
VAECF,Fair,0.056,0.0651,0.0556,0.0095,0.0,4.604,42.93,13890.0,4080.0,-6.103,10.94 
