Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0841,0.1486,0.0807,0.0679,0.0,1.9014,0.74,9430.0,0.0,166.318,89.327 
MostPop,Fair,0.0974,0.1123,0.0966,0.0157,76.88,1.9251,1.19,9430.0,0.0,165.383,86.164 
BPR,Org.,0.0838,0.1497,0.0803,0.0694,0.0,1.8961,0.96,9430.0,0.0,168.476,90.704 
BPR,Fair,0.0909,0.1091,0.0899,0.0192,72.33,1.9129,1.41,9430.0,0.0,165.704,88.57 
PF,Org.,0.112,0.1509,0.11,0.0409,0.0,2.51,35.8,8568.0,862.0,91.282,38.094 
PF,Fair,0.1376,0.1418,0.1374,0.0044,89.24,2.5274,36.77,8518.0,912.0,92.596,36.648 
WMF,Org.,0.0609,0.0866,0.0595,0.0271,0.0,2.5751,8.9,9190.0,240.0,79.479,28.47 
WMF,Fair,0.0636,0.0707,0.0633,0.0074,72.69,2.5855,8.9,9173.0,257.0,82.582,27.423 
NeuMF,Org.,0.1105,0.1471,0.1085,0.0385,0.0,2.2373,14.53,9374.0,56.0,114.202,58.188 
NeuMF,Fair,0.1155,0.12,0.1153,0.0048,87.53,2.2394,14.6,9372.0,58.0,113.649,57.934 
VAECF,Org.,0.1078,0.1492,0.1056,0.0436,0.0,2.357,22.98,9092.0,338.0,84.565,47.436 
VAECF,Fair,0.1134,0.1323,0.1124,0.0199,54.36,2.3592,23.13,9079.0,351.0,84.545,47.218 
