Model,Type,All,Act,Inact,UGF,Improv,Nov,Cov,Short,Long,GAPAct,GAPInact 
MostPop,Org.,0.0179,0.0265,0.0157,0.0108,0.0,4.4468,1.08,11360.0,0.0,126.445,160.689 
MostPop,Fair,0.0173,0.0245,0.0154,0.0091,15.74,4.4422,1.08,11360.0,0.0,127.759,161.215 
BPR,Org.,0.0148,0.0203,0.0134,0.0069,0.0,4.4783,1.08,11360.0,0.0,121.086,154.493 
BPR,Fair,0.0148,0.0203,0.0134,0.0069,0.0,4.477,1.18,11360.0,0.0,121.401,154.724 
PF,Org.,0.0108,0.0164,0.0094,0.0071,0.0,5.8712,89.4,5844.0,5516.0,13.725,11.453 
PF,Fair,0.0114,0.0154,0.0103,0.0052,26.76,5.8708,89.7,5855.0,5505.0,15.664,10.787 
WMF,Org.,0.0062,0.0051,0.0064,-0.0013,0.0,6.6007,97.15,1965.0,9395.0,-40.61,-34.247 
WMF,Fair,0.0062,0.0051,0.0064,-0.0013,0.0,6.6007,97.15,1965.0,9395.0,-40.61,-34.247 
NeuMF,Org.,0.0165,0.0276,0.0136,0.0139,0.0,4.5143,3.43,11360.0,0.0,117.467,151.225 
NeuMF,Fair,0.0165,0.0273,0.0137,0.0136,2.16,4.5172,3.63,11360.0,0.0,116.613,150.801 
VAECF,Org.,0.0186,0.0327,0.0149,0.0178,0.0,5.134,41.02,9512.0,1848.0,61.276,78.681 
VAECF,Fair,0.0188,0.0287,0.0162,0.0125,29.78,5.133,40.92,9515.0,1845.0,60.979,78.73 
