Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0304,0.0408,0.0279,0.0129,0.0,3.5466,0.68,15680.0,0.0,191.696,197.592 
MostPop,Fair,0.031,0.039,0.029,0.01,22.48,3.5764,1.16,15680.0,0.0,190.796,186.604 
BPR,Org.,0.0324,0.041,0.0302,0.0108,0.0,3.5508,0.68,15680.0,0.0,145.383,150.342 
BPR,Fair,0.0324,0.0404,0.0304,0.01,7.41,3.5777,0.89,15680.0,0.0,144.816,139.702 
PF,Org.,0.0223,0.0211,0.0227,-0.0016,0.0,5.1479,56.88,12570.0,3110.0,41.68,63.216 
PF,Fair,0.0223,0.0211,0.0227,-0.0016,0.0,5.1479,56.88,12570.0,3110.0,41.68,63.216 
WMF,Org.,0.0175,0.026,0.0153,0.0107,0.0,5.6952,71.18,9726.0,5954.0,-6.087,-21.46 
WMF,Fair,0.0178,0.022,0.0168,0.0052,51.4,5.7127,69.4,9697.0,5983.0,2.517,-26.767 
NeuMF,Org.,0.0299,0.0422,0.0268,0.0153,0.0,3.6794,4.59,15677.0,3.0,162.375,161.231 
NeuMF,Fair,0.0303,0.0365,0.0288,0.0077,49.67,3.689,4.79,15679.0,1.0,163.82,157.424 
VAECF,Org.,0.0397,0.0478,0.0377,0.0101,0.0,4.3894,26.01,13927.0,1753.0,111.507,95.101 
VAECF,Fair,0.0392,0.0412,0.0386,0.0026,74.26,4.391,25.8,13920.0,1760.0,119.795,92.074 
