Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0111,0.0278,0.0065,0.0213,0.0,4.7364,0.63,24480.0,0.0,111.042,210.032 
MostPop,Fair,0.0111,0.0278,0.0066,0.0212,0.47,4.7356,0.69,24480.0,0.0,111.042,210.292 
BPR,Org.,0.0132,0.0304,0.0085,0.0218,0.0,4.7307,0.69,24480.0,0.0,111.49,210.693 
BPR,Fair,0.0132,0.0304,0.0086,0.0218,0.0,4.7305,0.75,24480.0,0.0,111.509,210.695 
PF,Org.,0.0094,0.022,0.0059,0.016,0.0,6.1434,71.03,17069.0,7411.0,32.44,39.383 
PF,Fair,0.0093,0.0216,0.006,0.0156,2.5,6.1415,70.97,17093.0,7387.0,32.605,39.345 
WMF,Org.,0.0078,0.0191,0.0046,0.0145,0.0,6.4316,89.34,16580.0,7900.0,0.893,11.315 
WMF,Fair,0.0074,0.0172,0.0047,0.0126,13.1,6.4215,88.97,16700.0,7780.0,1.227,11.373 
NeuMF,Org.,0.0144,0.0301,0.0102,0.0199,0.0,4.7082,4.64,24480.0,0.0,128.406,229.707 
NeuMF,Fair,0.0144,0.0301,0.0102,0.0199,0.0,4.7084,4.64,24480.0,0.0,128.237,229.72 
VAECF,Org.,0.0174,0.0375,0.012,0.0255,0.0,5.5854,22.13,18991.0,5489.0,68.235,101.528 
VAECF,Fair,0.0174,0.0372,0.012,0.0252,1.18,5.5849,21.94,18995.0,5485.0,68.425,101.514 
