Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0067,0.0148,0.0044,0.0103,0.0,5.6695,0.69,21700.0,0.0,101.009,162.172 
MostPop,Fair,0.0068,0.015,0.0045,0.0105,1.94,5.6702,0.75,21700.0,0.0,101.075,162.009 
BPR,Org.,0.0064,0.0136,0.0045,0.0091,0.0,5.6886,0.69,21700.0,0.0,98.555,159.055 
BPR,Fair,0.0064,0.0136,0.0045,0.0091,0.0,5.688,0.81,21700.0,0.0,98.704,159.12 
PF,Org.,0.0085,0.0162,0.0064,0.0098,0.0,6.8764,75.71,11399.0,10301.0,14.318,22.321 
PF,Fair,0.0087,0.0162,0.0066,0.0095,3.06,6.8743,76.0,11419.5833,10280.4167,14.471,22.487 
WMF,Org.,0.0083,0.015,0.0064,0.0086,0.0,6.9555,89.61,11786.0,9914.0,21.985,13.253 
WMF,Fair,0.0086,0.0133,0.0073,0.006,30.23,6.9479,88.92,11900.0,9800.0,22.06,13.94 
NeuMF,Org.,0.0072,0.0148,0.0051,0.0097,0.0,5.7281,4.44,21700.0,0.0,92.96,152.777 
NeuMF,Fair,0.0072,0.0148,0.0051,0.0097,0.0,5.728,4.44,21700.0,0.0,92.965,152.731 
VAECF,Org.,0.0123,0.0243,0.009,0.0153,0.0,6.486,36.3,15828.0,5872.0,46.215,56.417 
VAECF,Fair,0.0123,0.0243,0.009,0.0153,0.0,6.4855,36.3,15830.0,5870.0,46.272,56.417 
