Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0302,0.0465,0.0261,0.0204,0.0,3.7133,0.49,26770.0,0.0,202.723,207.972 
MostPop,Fair,0.0299,0.0445,0.0262,0.0182,10.78,3.7,0.83,26770.0,0.0,217.749,208.241 
BPR,Org.,0.0304,0.0446,0.0268,0.0178,0.0,3.708,0.68,26770.0,0.0,203.427,208.685 
BPR,Fair,0.0302,0.0414,0.0274,0.014,21.35,3.6818,0.87,26770.0,0.0,219.547,213.101 
PF,Org.,0.0321,0.0516,0.0272,0.0244,0.0,4.9602,50.73,22169.0,4601.0,70.422,60.071 
PF,Fair,0.0332,0.0469,0.0298,0.0171,29.92,4.9727,50.92,22067.0,4703.0,73.278,57.827 
WMF,Org.,0.0235,0.0392,0.0196,0.0196,0.0,4.9483,29.13,25225.0,1545.0,45.145,42.495 
WMF,Fair,0.024,0.0369,0.0207,0.0162,17.35,4.9468,28.01,25290.0,1480.0,46.865,41.703 
NeuMF,Org.,0.0451,0.0663,0.0398,0.0265,0.0,3.8923,12.14,26533.0,237.0,170.13,203.371 
NeuMF,Fair,0.0457,0.0629,0.0414,0.0215,18.87,3.8956,12.33,26542.0,228.0,170.671,202.121 
VAECF,Org.,0.0444,0.0601,0.0405,0.0196,0.0,4.4061,31.07,24602.0,2168.0,112.638,126.135 
VAECF,Fair,0.0436,0.05,0.042,0.0081,58.67,4.4136,31.02,24576.0,2194.0,114.078,124.504 
