Model,Type,All,Adv,Disadv,UGF,Δ%,Nov,Cov,Short,Long,ΔGapA,ΔGapD 
MostPop,Org.,0.0841,0.1407,0.07,0.0708,0.0,1.9014,0.74,9430.0,0.0,130.167,84.496 
MostPop,Fair,0.084,0.1259,0.0736,0.0523,26.13,1.9148,1.04,9430.0,0.0,128.91,82.865 
BPR,Org.,0.0892,0.1381,0.077,0.0611,0.0,1.8696,0.89,9430.0,0.0,135.568,88.82 
BPR,Fair,0.0902,0.1154,0.0839,0.0315,48.45,1.8902,1.33,9430.0,0.0,133.924,85.854 
PF,Org.,0.112,0.1598,0.1,0.0598,0.0,2.51,35.8,8568.0,862.0,77.569,32.5 
PF,Fair,0.1318,0.137,0.1305,0.0066,88.96,2.5279,36.84,8516.25,913.75,77.663,30.766 
WMF,Org.,0.0609,0.1035,0.0503,0.0532,0.0,2.5751,8.9,9190.0,240.0,51.922,25.992 
WMF,Fair,0.0591,0.076,0.0549,0.0211,60.34,2.5796,8.97,9188.0,242.0,54.633,24.825 
NeuMF,Org.,0.1105,0.1588,0.0984,0.0604,0.0,2.2373,14.53,9374.0,56.0,91.398,53.975 
NeuMF,Fair,0.1077,0.1103,0.1071,0.0032,94.7,2.2439,14.38,9369.0,61.0,92.828,52.901 
VAECF,Org.,0.1078,0.1555,0.0958,0.0596,0.0,2.357,22.98,9092.0,338.0,75.795,43.376 
VAECF,Fair,0.1091,0.1166,0.1072,0.0094,84.23,2.3612,23.28,9072.0,358.0,76.414,42.709 
